page,line,raw_text,clean_text,avg_conf
2,1,YALE UNIVERSIT'*,YALE UNIVERSIT,76.0625
2,2,LIBRARY,LIBRARY,57.0
2,3,-a,-a,133.5
3,1,"""v-",v-,41.333333333333336
4,1,^^^mm,mm,153.4
4,2,^^^,,255.0
4,3,Sf*.-*,Sf.-,41.5
5,1,!l,l,30.5
7,1,« %o)t «H<,o)t H,73.6
7,2,"^4^,","4,",145.0
9,1,n,n,24.0
9,2,"<./.-.,","./.-.,",104.42857142857143
9,3,^^^.,.,255.0
10,1,"~-x>!f ■-"";'•",-xf -;,92.23076923076923
10,2,^1^,1,170.0
10,3,1>^,1,85.0
10,4,"/r""- ^^",/r-,182.14285714285714
10,5,.^^,.,255.0
11,1,"...^L.. „!C^ „.o .,^„j","...L.. C .o .,j",166.4090909090909
11,2,li,li,28.5
12,1,^,,255.0
12,2,^- F. »i^ % iS,- F. i  iS,131.5
13,1,L,L,24.0
15,1,"oit„^...«.,x ^f^. ' "";/L7::","oit....,x f.  ;/L7::",113.85185185185185
16,1,"&^ c^ !t™^ ^tt., „fA.< s, w lt.»t5,n","c t tt., fA. s, w lt.t5,n",110.25
17,1,""".j"" s ' 'f   '   %s""'*-^ oft.:..».«» .",.j s  f  s- oft.:... .,115.46153846153847
17,2,:^,:,140.5
17,3,^,,255.0
17,4,■■i,i,203.33333333333334
18,1,^1   ^^     Xc«<^,1  Xc,185.64705882352942
18,2,". ' o«   *>llo.^   ^ tT:«,t list c»»^< »«;■""   '""^'i-   ^^^-^ ^",".  o llo.  tT:,t list c ; i- -",148.84126984126985
20,1,■^=^,,205.0
20,2,:^^^m^',:m,182.14285714285714
20,3,"X^^^,'","X,",179.33333333333334
22,1,/^,/,127.5
23,1,\,\,26.0
23,2,Uf^^^,Uf,153.0
26,1,"n^.ft.i olf„, .1' „ t","n.ft.i olf, .1  t",122.04761904761905
27,1,m,m,66.0
29,1,4f ^   \^^^* 4p,4f  \ 4p,163.2
29,2,"T... If... .^, ^,„. *3N\//.^}ioaox M","T... If... ., ,. 3N\//.}ioaox M",127.47222222222223
29,3,.^..0,...0,168.2
34,1,I!,I,48.0
34,2,i,i,30.0
34,3,^Jm<^',Jm,101.83333333333333
35,1,^m,m,134.0
35,2,"0<?tt>< ^<\\^ ^t^ f-^osSa Aoi<Sct     'tH>""",0tt \\ t f-osSa AoiSct tH,112.90697674418605
36,1,^2,2,154.5
37,1,::-„^2sz:f^:ii,::-2sz:f:ii,65.78571428571429
37,2,">,> 6,,1f,.,-.?<•, fo.w   S^tf.*--",", 6,,1f,.,-., fo.w Stf.--",114.3529411764706
37,3,'^^^       A.^-,A.-,212.66666666666666
37,4,%iit;,iit;,5.6
38,1,J,J,0.0
38,2,"^j6ii.7tfwx„.r.tf.~,","j6ii.7tfwx.r.tf.,",72.8
38,3,"„ T,„ .if..«.,.5r.","T, .if...,.5r.",130.88888888888889
40,1,#^,,127.5
40,2,W\,W\,19.0
41,1,IpHE^a,IpHEa,63.5
41,2,t ;    o    ..^.V        f ^ .V 1f     ',t ; o ...V f  .V 1f,194.425
41,3,•,,255.0
41,4,iV,iV,20.0
42,1,^4 #,4,133.5
42,2,-*%,-,36.333333333333336
42,3,Sb^E*^,SbE,105.66666666666667
43,1,i^,i,127.5
44,1,te;,te;,50.666666666666664
44,2,^spip,spip,65.8
45,1,!«<ss;,ss;,31.166666666666668
48,1,..f^..„ J„;..^.t-,..f.. J;...t-,90.52941176470588
48,2,if,if,66.5
48,3,5,5,23.0
48,4,:^V,:V,86.0
48,5,"#>, I",", I",68.4
49,1,f^-^l^-,f-l-,168.57142857142858
50,1,",""^..-.ot «.;! .^« S»«>j «o.Ci",",..-.ot .; . Sj o.Ci",113.03333333333333
51,1,?%.   ^.tfs,. .tfs,154.27272727272728
51,2,WmHlikti^C-,WmHliktiC-,55.18181818181818
51,3,m^,m,127.5
51,4,'0,0,44.5
51,5,!!/,/,54.666666666666664
53,1,^-/^ -I,-/ -I,140.0
54,1,",i",",i",143.0
54,2,<i9^,i9,99.0
54,3,^i,i,127.5
54,4,^^',,188.33333333333334
54,5,±,,0.0
55,1,i,i,39.0
55,2,"-T)""",-T),29.25
55,3,m,m,0.0
56,1,"«>;) A... *.., ^^[jV",";) A... .., [jV",143.35
57,1,I,I,27.0
58,1,:..':::trl7k-:rM'-Ki;':.,:..:::trl7k-:rM-Ki;:.,42.625
59,1,\\,\\,12.5
60,1,"'.Li ^.'-^ ""-'^'""' ^i- ^""^^""^ ^'"" 'i'^-,",".Li .- - i-   i-,",158.275
60,2,"-V ^.I ^""^- ^r-^ ^■r''r*^^?^'^ h^'^'",-V .I - r- rr h,164.44444444444446
61,1,:^-A,:-A,141.25
61,2,"|i>/r.';r';,.fiix.;^""ilif","i/r.;r;,.fiix.;ilif",40.28
61,3,"^""",,177.5
61,4,'^-1,-1,102.0
61,5,:^^,:,170.0
63,1,4»'^«k,4k,86.66666666666667
63,2,to,to,100.0
64,1,^'^,,196.0
64,2,",/tf;::5e.^-?»^-I±^'",",/tf;::5e.--I",113.1
