
character,count,frequency
.,31891,0.1321200270114633
o,25589,0.1060117077293385
e,20544,0.08511096657124273
h,17877,0.07406195236536732
y,17691,0.07329137994605993
a,15775,0.06535365545469987
c,13373,0.05540249980321403
d,13073,0.05415964106239565
i,12066,0.04998777855571528
l,12029,0.04983449264434769
k,10953,0.04537677262727909
t,8357,0.0346219016567307
r,7839,0.032475898897584295
n,7531,0.03119989725701076
s,7475,0.03096789695872466
q,5430,0.0224957432088127
p,3035,0.012573587594612622
{,2044,0.008468010887442569
},2044,0.008468010887442569
=,1783,0.007386723782930578
-,1707,0.007071866235256588
m,1125,0.004660720278068929
f,865,0.003583576036026332
g,433,0.0017938594492478634
u,309,0.0012801445030429324
%,120,0.0004971434963273524
&,119,0.0004930006338579578
b,41,0.00016985736124517875
1,36,0.00014914304889820573
x,35,0.0001450001864288111
T,20,8.285724938789207e-05
7,15,6.214293704091905e-05
\,14,5.800007457152445e-05
2,13,5.385721210212985e-05
S,13,5.385721210212985e-05
K,9,3.7285762224551434e-05
v,9,3.7285762224551434e-05
9,8,3.314289975515683e-05
?,8,3.314289975515683e-05
5,7,2.9000037285762226e-05
|,7,2.9000037285762226e-05
0,7,2.9000037285762226e-05
Y,7,2.9000037285762226e-05
4,6,2.4857174816367622e-05
6,6,2.4857174816367622e-05
I,6,2.4857174816367622e-05
',5,2.071431234697302e-05
3,5,2.071431234697302e-05
j,5,2.071431234697302e-05
F,4,1.6571449877578415e-05
"""",3,1.2428587408183811e-05
w,3,1.2428587408183811e-05
O,3,1.2428587408183811e-05
8,2,8.285724938789207e-06
z,2,8.285724938789207e-06
¤,1,4.142862469394604e-06
À,1,4.142862469394604e-06
:,1,4.142862469394604e-06
