token,operator,stem,suffix,templated
Bifolio,,bifoli,o,True
bO,,b,o,True
f,,f,,False
f,,f,,False
Quire,,quire,,False
O,,,o,True
Rene,,rene,,False
XV,,xv,,False
Beinecke,,beinecke,,False
Washington,,washingto,n,True
Post,,post,,False
Aug,,aug,,False
Sunday,,sunda,y,True
Attributes,,attributes,,False
Language,,language,,False
A,,a,,False
Currier,,currie,r,True
Hand,,han,d,True
Currier,,currie,r,True
Subsets,,subsets,,False
P,,p,,False
Rene,,rene,,False
pha,,pha,,False
Stolfi,,stolfi,,False
Subject,,subject,,False
pharmaceutical,,pharmaceutica,l,True
Colors,,colors,,False
red,,re,d,True
green,,gree,n,True
brown,,brow,n,True
Reeds,,reeds,,False
Description,,descriptio,n,True
rows,,rows,,False
of,,of,,False
veggies,,veggies,,False
that,,that,,False
seem,,see,m,True
to,,t,o,True
be,,be,,False
named,,name,d,True
with,,with,,False
paragraphs,,paragraphs,,False
under,,unde,r,True
each,,each,,False
See,,see,,False
Reeds,,reeds,,False
Dec,,dec,,False
top,,top,,False
labels,,labels,,False
Last,,last,,False
edited,,edite,d,True
on,,o,n,True
by,,b,y,True
stolfi,,stolfi,,False
There,,there,,False
are,,are,,False
labels,,labels,,False
alternating,,alternating,,False
with,,with,,False
plants,,plants,,False
not,,not,,False
clear,,clea,r,True
which,,which,,False
goes,,goes,,False
with,,with,,False
which,,which,,False
Why,,wh,y,True
is,,is,,False
the,,the,,False
third,,thir,d,True
location,,locatio,n,True
f,,f,,False
r,,,r,True
B,,b,,False
K,,k,,False
instead,,instea,d,True
of,,of,,False
f,,f,,False
r,,,r,True
A,,a,,False
K,,k,,False
JS,,js,,False
container,,containe,r,True
f,,f,,False
r,,,r,True
Lc,,lc,,False
H,,h,,False
otorchety,ot,orchet,y,True
f,,f,,False
r,,,r,True
Lc,,lc,,False
V,,v,,False
otorchety,ot,orchet,y,True
f,,f,,False
r,,,r,True
Lc,,lc,,False
L,,,l,True
otorchety,ot,orchet,y,True
f,,f,,False
r,,,r,True
Lc,,lc,,False
K,,k,,False
otorchety,ot,orchet,y,True
was,,was,,False
f,,f,,False
r,,,r,True
A,,a,,False
K,,k,,False
plant,,plant,,False
light,,light,,False
coloured,,coloure,d,True
roots,,roots,,False
twigs,,twigs,,False
f,,f,,False
r,,,r,True
Lf,,lf,,False
H,,h,,False
oral,,ora,l,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
V,,v,,False
osal,,osa,l,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
L,,,l,True
oral,,ora,l,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
K,,k,,False
oral,,ora,l,True
was,,was,,False
f,,f,,False
r,,,r,True
A,,a,,False
K,,k,,False
plant,,plant,,False
light,,light,,False
coloured,,coloure,d,True
twigs,,twigs,,False
dark,,dark,,False
roots,,roots,,False
f,,f,,False
r,,,r,True
Lf,,lf,,False
H,,h,,False
orald,,oral,d,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
V,,v,,False
orald,,oral,d,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
L,,,l,True
orald,,oral,d,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
K,,k,,False
orald,,oral,d,True
was,,was,,False
f,,f,,False
r,,,r,True
B,,b,,False
K,,k,,False
plant,,plant,,False
light,,light,,False
coloured,,coloure,d,True
roots,,roots,,False
twigs,,twigs,,False
dark,,dark,,False
btwn,,btw,n,True
roots,,roots,,False
stem,,ste,m,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
H,,h,,False
oldar,ol,da,r,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
V,,v,,False
oldar,ol,da,r,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
L,,,l,True
oldar,ol,da,r,True
f,,f,,False
r,,,r,True
Lf,,lf,,False
K,,k,,False
oldar,ol,da,r,True
was,,was,,False
f,,f,,False
