
prefix,count,frequency
qok,288,0.05534204458109147
dai,251,0.04823212913143735
ych,189,0.036318216756341275
dch,150,0.028823981552651805
pch,149,0.028631821675634127
sho,120,0.023059185242121444
qot,120,0.023059185242121444
tch,115,0.02209838585703305
sai,113,0.021714066102997694
oke,106,0.020368946963873945
cho,102,0.01960030745580323
dsh,99,0.019023827824750192
oka,82,0.015757109915449655
ote,82,0.015757109915449655
yke,80,0.015372790161414296
sol,79,0.015180630284396618
ysh,78,0.01498847040737894
oto,77,0.01479631053036126
pol,74,0.014219830899308224
ota,72,0.013835511145272867
oko,66,0.012682551883166795
dar,63,0.01210607225211376
{fi,63,0.01210607225211376
otc,57,0.010953112990007686
tsh,57,0.010953112990007686
she,56,0.010760953112990008
che,55,0.010568793235972328
tol,50,0.009607993850883935
sor,49,0.009415833973866257
yte,48,0.009223674096848577
