token,operator,stem,suffix,templated
bifolio,,bifoli,o,True
bo,,b,o,True
f,,f,,False
f,,f,,False
quire,,quire,,False
o,,,o,True
rene,,rene,,False
xv,,xv,,False
beinecke,,beinecke,,False
washington,,washingto,n,True
post,,post,,False
aug,,aug,,False
sunday,,sunda,y,True
attributes,,attributes,,False
language,,language,,False
a,,a,,False
currier,,currie,r,True
hand,,han,d,True
currier,,currie,r,True
subsets,,subse,ts,True
p,,p,,False
rene,,rene,,False
pha,,pha,,False
stolfi,,stolfi,,False
subject,,subject,,False
pharmaceutical,,pharmaceutica,l,True
colors,,colors,,False
red,,re,d,True
green,,gree,n,True
brown,,brow,n,True
reeds,,reeds,,False
description,,descriptio,n,True
rows,,rows,,False
of,,of,,False
veggies,,veggies,,False
that,,that,,False
seem,,see,m,True
to,,t,o,True
be,,be,,False
named,,name,d,True
with,,with,,False
paragraphs,,paragraphs,,False
under,,unde,r,True
each,,each,,False
see,,see,,False
reeds,,reeds,,False
dec,,dec,,False
top,,top,,False
labels,,labels,,False
last,,last,,False
edited,,edite,d,True
on,,o,n,True
by,,b,y,True
stolfi,,stolfi,,False
there,,there,,False
are,,are,,False
labels,,labels,,False
alternating,,alternating,,False
with,,with,,False
plants,,plan,ts,True
not,,not,,False
clear,,clea,r,True
which,,which,,False
goes,,goes,,False
with,,with,,False
which,,which,,False
why,,wh,y,True
is,,is,,False
the,,the,,False
third,,thir,d,True
location,,locatio,n,True
f,,f,,False
r,,,r,True
b,,b,,False
k,,k,,False
instead,,instea,d,True
of,,of,,False
f,,f,,False
r,,,r,True
a,,a,,False
k,,k,,False
js,,js,,False
container,,containe,r,True
f,,f,,False
r,,,r,True
lc,,lc,,False
k,,k,,False
otorchety,ot,orchet,y,True
was,,w,as,True
f,,f,,False
r,,,r,True
a,,a,,False
k,,k,,False
plant,,pla,nt,True
light,,light,,False
coloured,,coloure,d,True
roots,,roo,ts,True
twigs,,twigs,,False
f,,f,,False
r,,,r,True
lf,,,lf,True
k,,k,,False
oral,,ora,l,True
was,,w,as,True
f,,f,,False
r,,,r,True
a,,a,,False
k,,k,,False
plant,,pla,nt,True
light,,light,,False
coloured,,coloure,d,True
twigs,,twigs,,False
dark,,dark,,False
roots,,roo,ts,True
f,,f,,False
r,,,r,True
lf,,,lf,True
k,,k,,False
orald,,oral,d,True
was,,w,as,True
f,,f,,False
r,,,r,True
b,,b,,False
k,,k,,False
plant,,pla,nt,True
light,,light,,False
coloured,,coloure,d,True
roots,,roo,ts,True
twigs,,twigs,,False
dark,,dark,,False
btwn,,btw,n,True
roots,,roo,ts,True
stem,,ste,m,True
f,,f,,False
r,,,r,True
lf,,,lf,True
k,,k,,False
oldar,ol,da,r,True
was,,w,as,True
f,,f,,False
r,,,r,True
a,,a,,False
k,,k,,False
plant,,pla,nt,True
mostly,,mostl,y,True
root,,root,,False
dark,,dark,,False
colour,,colou,r,True
with,,with,,False
light,,light,,False
coloured,,coloure,d,True
sprouts,,sprou,ts,True
f,,f,,False
r,,,r,True
lf,,,lf,True
k,,k,,False
otoky,ot,ok,y,True
was,,w,as,True
f,,f,,False
r,,,r,True
a,,a,,False
k,,k,,False
plant,,pla,nt,True
light,,light,,False
coloured,,coloure,d,True
roots,,roo,ts,True
dark,,dark,,False
leaf,,leaf,,False
leaf,,leaf,,False
of,,of,,False
plant,,pla,nt,True
last,,last,,False
edited,,edite,d,True
on,,o,n,True
by,,b,y,True
stolfi,,stolfi,,False
f,,f,,False
r,,,r,True
p,,p,,False
h,,h,,False
dorsheoy,,dorsheo,y,True
ctheol,cth,eo,l,True
qockhey,qo,ckhe,y,True
dory,,dor,y,True
sheor,sh,eo,r,True
sholfchor,sh,olfcho,r,True
dal,,da,l,True
chckhod,ch,ckho,d,True
f,,f,,False
r,,,r,True
p,,p,,False
f,,f,,False
darsheoy,,darsheo,y,True
ctheol,cth,eo,l,True
qockhey,qo,ckhe,y,True
dary,,dar,y,True
sheor,sh,eo,r,True
sholfchor,sh,olfcho,r,True
dal,,da,l,True
chcthol,ch,ctho,l,True
f,,f,,False
r,,,r,True
p,,p,,False
l,,,l,True
dorsheoy,,dorsheo,y,True
ctheol,cth,eo,l,True
qockhey,qo,ckhe,y,True
dora,,dora,,False
sheor,sh,eo,r,True
sholpchor,sh,olpcho,r,True
