folio,tokens,coverage_base_%,coverage_with_candidates_%
f100r,1114,53.95,62.3
f100v,740,34.86,45.68
f101r,713,80.22,80.36
f101v,12467,36.54,39.54
f102r,1880,57.23,60.64
f102v,2244,48.13,54.01
f103r,1838,74.37,74.48
f103v,1576,69.16,69.29
f104r,1457,75.36,75.43
f104v,1377,69.57,69.79
f105r,1201,72.27,72.44
f105v,1741,69.44,69.5
f106r,2043,75.33,75.38
f106v,2926,69.69,69.75
f107r,3137,65.22,66.31
f107v,2144,68.7,68.75
f108r,2231,76.02,76.2
f108v,2578,70.67,70.71
f10r,572,61.01,67.13
f10v,445,59.1,60.22
f111r,2729,77.72,77.87
f111v,3587,72.65,72.82
f112r,2434,74.49,74.73
f112v,2750,66.62,66.73
f113r,2876,77.02,77.26
f113v,2184,69.64,70.01
f114r,2075,75.61,75.81
f114v,1238,66.32,66.48
f115r,1431,75.82,76.1
f115v,1307,66.79,66.95
f116r,1700,75.35,75.47
f116v,1574,35.32,38.18
f11r,387,57.88,60.21
f11v,425,52.94,59.76
f13r,433,62.82,65.36
f13v,430,53.02,61.4
f14r,501,58.68,66.87
f14v,524,62.02,64.69
f15r,799,56.2,70.46
f15v,603,50.91,58.71
f16r,578,57.44,63.49
f16v,559,46.69,54.38
f17r,894,52.91,57.61
f17v,822,52.8,60.1
f18r,560,57.32,64.29
f18v,521,55.85,57.01
f19r,483,61.9,66.05
f19v,700,50.0,57.29
f1r,2632,61.51,62.08
f1v,645,57.52,63.57
f20r,494,65.79,66.4
f20v,630,58.89,62.38
f21r,516,69.38,69.96
f21v,440,54.55,57.73
f22r,570,67.19,71.05
f22v,745,46.58,55.97
f23r,542,66.97,70.11
f23v,696,57.61,63.51
f24r,710,55.07,63.38
f24v,795,48.81,55.72
f25r,300,61.33,62.0
f25v,328,57.62,60.06
f26r,511,59.88,71.62
f26v,605,63.97,64.96
f27r,725,60.97,69.52
f27v,507,56.61,63.12
f28r,411,64.23,70.56
f28v,551,56.99,61.52
f29r,510,63.14,68.24
f29v,770,53.38,66.49
f2r,870,52.53,61.72
f2v,728,49.59,55.49
f30r,564,65.25,71.99
f30v,413,53.27,59.08
f31r,608,61.68,66.94
f31v,513,65.11,65.5
f32r,581,53.53,62.82
f32v,671,53.06,60.95
f33r,375,70.13,71.2
f33v,816,59.56,71.08
f34r,873,61.63,71.94
f34v,717,66.81,67.36
f35r,565,59.82,67.61
f35v,636,44.65,53.46
f36r,395,58.23,66.84
f36v,488,47.54,55.12
f37r,599,64.77,69.78
f37v,650,42.0,50.31
f38r,278,56.83,64.03
f38v,375,54.93,60.8
f39r,1318,62.67,64.87
f39v,918,68.08,71.24
f3r,878,53.42,60.14
f3v,926,46.44,53.89
