folio,lineno,pos,token,operator,stem,suffix,templated,op_gloss
f88r,28726,1,Bifolio,,bifolio,,False,
f88r,28726,2,bO,,bo,,False,
f88r,28726,3,f,,f,,False,
f88r,28726,4,f,,f,,False,
f88r,28727,1,Quire,,quire,,False,
f88r,28727,2,O,,o,,False,
f88r,28727,3,Rene,,rene,,False,
f88r,28727,4,XV,,xv,,False,
f88r,28727,5,Beinecke,,beinecke,,False,
f88r,28729,1,Washington,,washingto,n,True,
f88r,28729,2,Post,,post,,False,
f88r,28729,3,Aug,,aug,,False,
f88r,28729,4,Sunday,,sunda,y,True,
f88r,28731,1,Attributes,,attributes,,False,
f88r,28733,1,Language,,language,,False,
f88r,28733,2,A,,a,,False,
f88r,28733,3,Currier,,currier,,False,
f88r,28734,1,Hand,,hand,,False,
f88r,28734,2,Currier,,currier,,False,
f88r,28735,1,Subsets,,subsets,,False,
f88r,28735,2,P,,p,,False,
f88r,28735,3,Rene,,rene,,False,
f88r,28735,4,pha,,pha,,False,
f88r,28735,5,Stolfi,,stolfi,,False,
f88r,28736,1,Subject,,subject,,False,
f88r,28736,2,pharmaceutical,,pharmaceutical,,False,
f88r,28737,1,Colors,,colors,,False,
f88r,28737,2,red,,red,,False,
f88r,28737,3,green,,gree,n,True,
f88r,28737,4,brown,,brow,n,True,
f88r,28737,5,Reeds,,reeds,,False,
f88r,28739,1,Description,,descriptio,n,True,
f88r,28741,1,rows,,rows,,False,
f88r,28741,2,of,,of,,False,
f88r,28741,3,veggies,,veggies,,False,
f88r,28741,4,that,,that,,False,
f88r,28741,5,seem,,seem,,False,
f88r,28741,6,to,,to,,False,
f88r,28741,7,be,,be,,False,
f88r,28741,8,named,,named,,False,
f88r,28741,9,with,,with,,False,
f88r,28741,10,paragraphs,,paragraphs,,False,
f88r,28741,11,under,,under,,False,
f88r,28742,1,each,,each,,False,
f88r,28742,2,See,,see,,False,
f88r,28742,3,Reeds,,reeds,,False,
f88r,28742,4,Dec,,dec,,False,
f88r,28745,1,top,,top,,False,
f88r,28745,2,labels,,labels,,False,
f88r,28746,1,Last,,last,,False,
f88r,28746,2,edited,,edited,,False,
f88r,28746,3,on,,o,n,True,
f88r,28746,4,by,,b,y,True,
f88r,28746,5,stolfi,,stolfi,,False,
f88r,28748,1,There,,there,,False,
f88r,28748,2,are,,are,,False,
f88r,28748,3,labels,,labels,,False,
f88r,28748,4,alternating,,alternating,,False,
f88r,28748,5,with,,with,,False,
f88r,28748,6,plants,,plants,,False,
f88r,28748,7,not,,not,,False,
f88r,28748,8,clear,,clear,,False,
f88r,28748,9,which,,which,,False,
f88r,28748,10,goes,,goes,,False,
f88r,28748,11,with,,with,,False,
f88r,28748,12,which,,which,,False,
f88r,28750,1,Why,,wh,y,True,
f88r,28750,2,is,,is,,False,
f88r,28750,3,the,,the,,False,
f88r,28750,4,third,,third,,False,
f88r,28750,5,location,,locatio,n,True,
f88r,28750,6,f,,f,,False,
f88r,28750,7,r,,r,,False,
f88r,28750,8,B,,b,,False,
f88r,28750,9,K,,k,,False,
f88r,28750,10,instead,,instead,,False,
f88r,28750,11,of,,of,,False,
f88r,28750,12,f,,f,,False,
f88r,28750,13,r,,r,,False,
f88r,28750,14,A,,a,,False,
f88r,28750,15,K,,k,,False,
f88r,28750,16,JS,,js,,False,
f88r,28752,1,container,,container,,False,
f88r,28754,1,f,,f,,False,
f88r,28754,2,r,,r,,False,
f88r,28754,3,Lc,,lc,,False,
f88r,28754,4,H,,h,,False,
f88r,28754,5,otorchety,,otorchet,y,True,
f88r,28755,1,f,,f,,False,
f88r,28755,2,r,,r,,False,
f88r,28755,3,Lc,,lc,,False,
f88r,28755,4,V,,v,,False,
f88r,28755,5,otorchety,,otorchet,y,True,
f88r,28756,1,f,,f,,False,
f88r,28756,2,r,,r,,False,
f88r,28756,3,Lc,,lc,,False,
f88r,28756,4,L,,l,,False,
f88r,28756,5,otorchety,,otorchet,y,True,
f88r,28757,1,f,,f,,False,
f88r,28757,2,r,,r,,False,
f88r,28757,3,Lc,,lc,,False,
f88r,28757,4,K,,k,,False,
f88r,28757,5,otorchety,,otorchet,y,True,
f88r,28757,6,was,,was,,False,
f88r,28757,7,f,,f,,False,
f88r,28757,8,r,,r,,False,
f88r,28757,9,A,,a,,False,
f88r,28757,10,K,,k,,False,
f88r,28759,1,plant,,plant,,False,
f88r,28759,2,light,,light,,False,
f88r,28759,3,coloured,,coloured,,False,
f88r,28759,4,roots,,roots,,False,
f88r,28759,5,twigs,,twigs,,False,
f88r,28761,1,f,,f,,False,
f88r,28761,2,r,,r,,False,
f88r,28761,3,Lf,,lf,,False,
f88r,28761,4,H,,h,,False,
