token,folio,count_per_folio
a,f100r,16
a,f100v,15
a,f101r,4
a,f101v,196
a,f102r,14
a,f102v,6
a,f103r,2
a,f105r,2
a,f106v,2
a,f107r,20
a,f107v,1
a,f108r,1
a,f10r,2
a,f10v,2
a,f111r,3
a,f111v,2
a,f112v,7
a,f113r,3
a,f115r,2
a,f116v,49
a,f11r,2
a,f11v,2
a,f13r,2
a,f13v,2
a,f14r,2
a,f14v,2
a,f15r,2
a,f15v,2
a,f16r,4
a,f16v,4
a,f17r,5
a,f17v,2
a,f18r,4
a,f18v,2
a,f19r,2
a,f19v,3
a,f1r,26
a,f1v,6
a,f20r,2
a,f20v,2
a,f21r,2
a,f21v,2
a,f22r,2
a,f22v,3
a,f23r,2
a,f23v,2
a,f24r,2
a,f24v,7
a,f25r,2
a,f25v,1
a,f26v,1
a,f27r,2
a,f27v,2
a,f28r,2
a,f28v,3
a,f29r,3
a,f29v,2
a,f2r,11
a,f2v,12
a,f30r,2
a,f30v,1
a,f31r,2
a,f31v,1
a,f32r,2
a,f32v,4
a,f34r,4
a,f34v,1
a,f35r,2
a,f35v,2
a,f36r,2
a,f36v,2
a,f37r,2
a,f37v,2
a,f38r,2
a,f38v,1
a,f39r,15
a,f3r,8
a,f3v,10
a,f40v,8
a,f41v,1
a,f42r,2
a,f42v,1
a,f43r,1
a,f43v,5
a,f44r,2
a,f44v,5
a,f45r,2
a,f45v,1
a,f46v,4
a,f47r,2
a,f47v,1
a,f48r,2
a,f48v,7
a,f49r,11
a,f49v,3
a,f4r,4
a,f4v,5
a,f50r,2
a,f50v,1
a,f51r,2
a,f51v,2
a,f52r,2
a,f52v,2
a,f53r,3
a,f53v,2
a,f54r,2
a,f54v,2
a,f55v,1
a,f56r,3
a,f56v,6
a,f57r,1
a,f57v,11
a,f58r,4
a,f58v,4
a,f5r,9
a,f5v,10
a,f65r,2
a,f65v,2
a,f66r,15
a,f66v,10
a,f67r,33
a,f67v,25
a,f68r,39
a,f68v,52
a,f69r,23
a,f69v,8
a,f6r,5
a,f6v,5
a,f70r,21
a,f70v,112
a,f71r,25
a,f71v,26
a,f72r,87
a,f72v,57
a,f73r,7
a,f73v,13
a,f75v,6
a,f76r,7
a,f76v,1
a,f78r,3
a,f79v,1
a,f7r,8
a,f7v,4
a,f80r,2
a,f82r,7
a,f82v,2
a,f84r,3
a,f85r,37
a,f86r,138
a,f86v,67
a,f87r,2
a,f87v,4
a,f88v,15
a,f89r,46
a,f89v,23
a,f8r,9
a,f8v,7
a,f90r,7
a,f90v,7
a,f93r,3
a,f93v,1
a,f95r,11
a,f95v,3
a,f96r,5
a,f96v,3
a,f99r,9
a,f99v,3
a,f9r,3
a,f9v,8
alternating,f101v,1
alternating,f69r,1
alternating,f69v,1
alternating,f86r,1
alternating,f86v,1
alternating,f88v,4
alternating,f89r,3
alternating,f89v,6
alternating,f99r,2
are,f100r,4
are,f101v,25
are,f102r,5
are,f102v,2
are,f107r,2
are,f10r,1
are,f116v,4
are,f11r,1
are,f16r,1
are,f17r,2
are,f1r,7
are,f22v,1
are,f2r,3
are,f2v,1
are,f34r,1
are,f39r,2
are,f3r,4
are,f3v,1
are,f49r,4
are,f49v,4
are,f4v,1
are,f56r,1
are,f57v,9
are,f58r,5
are,f58v,1
are,f5r,1
are,f5v,2
are,f65v,1
are,f66r,4
are,f66v,4
are,f67r,6
are,f67v,10
are,f68r,4
are,f68v,9
are,f69r,5
are,f69v,2
are,f6r,3
are,f6v,1
are,f70r,9
are,f70v,31
are,f71r,5
are,f71v,7
are,f72r,21
are,f72v,9
are,f73r,3
are,f73v,3
are,f75v,5
are,f7v,1
are,f84r,3
are,f85r,8
are,f86r,44
are,f86v,15
are,f88v,3
are,f89r,6
are,f89v,6
are,f8v,1
are,f95r,1
are,f99r,4
are,f99v,2
are,f9r,1
are,f9v,7
attributes,f100r,1
attributes,f100v,1
attributes,f101r,1
attributes,f101v,1
attributes,f102r,2
attributes,f102v,2
attributes,f103r,1
attributes,f103v,1
attributes,f104r,1
attributes,f104v,1
attributes,f105r,1
attributes,f105v,1
attributes,f106r,1
attributes,f106v,1
attributes,f107r,1
attributes,f107v,1
attributes,f108r,1
attributes,f108v,1
attributes,f10r,1
attributes,f10v,1
attributes,f111r,1
attributes,f111v,1
attributes,f112r,1
attributes,f112v,1
