folio_id,total_words,high_conf,med_conf,low_conf,unmapped,avg_confidence
f100r,110,110,0,0,0,1.000
f100v,91,91,0,0,0,1.000
f101r,205,204,0,1,0,0.989
f101v,199,199,0,0,0,1.000
f102r1,104,104,0,0,0,1.000
f102r2,134,134,0,0,0,1.000
f102v1,126,126,0,0,0,1.000
f102v2,184,184,0,0,0,1.000
f103r,525,525,0,0,0,1.000
f103v,449,449,0,0,0,1.000
f104r,438,438,0,0,0,1.000
f104v,458,458,0,0,0,1.000
f105r,368,368,0,0,0,1.000
f105v,390,390,0,0,0,1.000
f106r,422,421,0,1,0,0.979
f106v,449,449,0,0,0,1.000
f107r,488,488,0,0,0,1.000
f107v,455,455,0,0,0,1.000
f108r,491,491,0,0,0,1.000
f108v,570,570,0,0,0,1.000
f10r,86,86,0,0,0,1.000
f10v,53,53,0,0,0,1.000
f111r,615,615,0,0,0,1.000
f111v,561,561,0,0,0,1.000
f112r,396,396,0,0,0,1.000
f112v,415,415,0,0,0,1.000
f113r,518,518,0,0,0,1.000
f113v,482,482,0,0,0,1.000
f114r,447,447,0,0,0,1.000
f114v,362,362,0,0,0,1.000
f115r,444,444,0,0,0,1.000
f115v,399,399,0,0,0,1.000
f116r,538,538,0,0,0,1.000
f11r,57,57,0,0,0,1.000
f11v,43,43,0,0,0,1.000
f13r,75,75,0,0,0,1.000
f13v,59,59,0,0,0,1.000
f14r,73,73,0,0,0,1.000
f14v,65,65,0,0,0,1.000
f15r,75,75,0,0,0,1.000
f15v,71,71,0,0,0,1.000
f16r,75,75,0,0,0,1.000
f16v,73,73,0,0,0,1.000
f17r,71,71,0,0,0,0.999
f17v,134,134,0,0,0,1.000
f18r,79,79,0,0,0,1.000
f18v,71,71,0,0,0,1.000
f19r,76,76,0,0,0,1.000
f19v,77,77,0,0,0,1.000
f1r,210,210,0,0,0,1.000
f1v,80,80,0,0,0,1.000
f20r,85,85,0,0,0,1.000
f20v,88,88,0,0,0,1.000
f21r,95,95,0,0,0,1.000
f21v,56,56,0,0,0,1.000
f22r,99,99,0,0,0,1.000
f22v,69,69,0,0,0,1.000
f23r,101,101,0,0,0,1.000
f23v,80,80,0,0,0,1.000
f24r,107,107,0,0,0,1.000
f24v,80,80,0,0,0,1.000
f25r,48,48,0,0,0,1.000
f25v,55,55,0,0,0,1.000
f26r,68,68,0,0,0,1.000
f26v,90,90,0,0,0,1.000
f27r,82,82,0,0,0,1.000
f27v,51,51,0,0,0,1.000
f28r,59,59,0,0,0,1.000
f28v,63,63,0,0,0,1.000
f29r,60,60,0,0,0,1.000
f29v,74,74,0,0,0,1.000
f2r,78,78,0,0,0,1.000
f2v,55,55,0,0,0,1.000
f30r,88,88,0,0,0,1.000
