
token,count
daiin,2525
chedy,1648
ol,1606
shedy,1470
aiin,1231
chol,1222
chey,1082
qokeedy,1029
qokaiin,1027
or,976
qokedy,957
qokeey,950
ar,931
dar,920
shey,845
dal,749
qokain,744
okaiin,729
chor,670
al,670
qokal,661
dy,635
s,595
shol,571
qol,543
otaiin,522
cheey,515
dain,505
saiin,505
okeey,504
otedy,498
<Grove's,495
cheol,494
qokar,472
chckhy,445
sheey,444
chy,438
chdy,431
qoky,429
okal,421
otar,419
otal,407
okedy,392
okar,390
lchedy,382
oteey,379
sho,376
dol,353
oty,349
y,348
okeedy,347
qokey,341
qotedy,337
okain,334
sheol,326
<was,318
dair,305
qokol,301
shor,300
cthy,295
shy,293
oteedy,290
r,286
cheor,281
qotaiin,278
sheedy,273
kaiin,263
chody,260
qoty,255
raiin,253
otol,252
oky,252
qoteedy,248
chcthy,242
sar,242
<,227
otain,227
char,226
cheody,225
dam,224
qokchy,223
ain,223
am,221
sol,211
dor,209
l,206
o,204
okol,204
cheo,203
cheky,198
qotal,198
qotchy,197
shckhy,192
qotar,188
okey,187
air,185
keedy,182
cho,180
cheedy,177
cthol,176
okeol,173
qokchdy,172
kar,171
odaiin,169
otey,169
checkhy,163
ykeey,162
olaiin,161
sheor,160
lkaiin,160
sal,157
kedy,155
tedy,155
shody,153
opchedy,152
chear,150
sain,147
tol,147
otchy,145
qotain,145
shdy,144
qotol,143
sor,143
oly,143
cthey,142
keey,142
cthor,141
oraiin,141
qokeol,141
lchey,141
olkeedy,138
taiin,137
tar,137
ykaiin,135
sheo,135
olkeey,133
chal,132
sheody,132
olkaiin,132
chaiin,131
$I=H,129
lor,127
sheckhy,127
lshedy,127
qodaiin,126
otam,126
qoteey,125
sheky,122
oteol,122
lol,122
chodaiin,121
dshedy,121
ytaiin,120
d,120
lkeedy,118
lkeey,117
daiin<-><plant>,116
olchedy,116
ody,115
kol,114
ckhy,113
otor,113
X,113
shar,112
pchedy,112
<label,112
chckhey,111
chedaiin,111
choty,109
choky,109
qokor,109
kain,108
ches,108
okchy,106
chos,106
tchedy,105
qokchedy,105
otchey,104
cheal,102
shcthy,101
ykar,101
checthy,101
okeody,99
oteody,99
okchey,97
chees,97
qokeody,97
qo,96
$L=A,94
ckhey,94
kchy,94
dchy,94
qopchedy,94
olchey,93
okor,92
oaiin,91
olor,90
olkedy,90
olkain,90
qokchey,89
cheos,89
lkar,89
chedar,87
aiiin,87
otchol,86
opchey,86
lkedy,86
kal,86
sair,84
otchedy,84
dchedy,83
dchor,81
yteedy,81
qokeeey,81
tchy,80
otchdy,80
okam,79
ykeedy,79
oiin,78
she,78
qotor,78
$H=1>,77
daly,76
ytedy,76
tor,75
yty,74
rol,74
cheeky,74
qor,74
shecthy,74
tal,74
olky,74
okchedy,74
shaiin,73
kchor,73
qoaiin,73
dary,73
yteey,73
ycheey,72
chety,72
qokam,72
chedal,72
rar,72
lkain,72
os,71
tchey,71
shear,71
kchey,71
odar,70
qotey,70
ytar,70
daiin<$>,69
aly,69
p<,69
olshedy,69
shodaiin,68
kchol,68
kor,67
daiir,67
$L=B,67
aiir,67
keol,66
chl,66
okair,66
keody,65
otair,65
okeeey,65
cthar,64
ckhol,64
chkaiin,64
ky,63
tchor,63
okeor,63
ary,62
qokeeo,62
kchedy,62
qotchdy,62
qoeedy,62
qotchey,61
ty,61
ydaiin,61
qockhy,61
okchdy,61
shed,61
ched,61
qockhey,61
s<-><plant>,60
qody,60
kchdy,60
qokeor,60
ory,59
chain,59
ykedy,59
pol,58
ral,58
ldy,58
qotchedy,58
ykchy,57
teey,57
dchey,57
chdal,57
chdar,57
sh,56
chky,56
oldy,56
opchdy,56
olkar,56
chocthy,55
okchor,55
daldy,55
olol,55
otaly,55
oteos,54
ychor,54
qokchol,54
sheal,54
shal,54
qopchdy,54
lshey,54
soiin,53
dchol,53
cthody,53
lky,53
cthy<-><plant>,52
chokchy,52
rain,52
dy<-><plant>,51
dl,51
ytchy,50
tchdy,50
chdaiin,50
teol,50
yky,49
otchor,49
teedy,49
ror,49
sy,48
ctho,48
cphol,48
okeeol,48
qokeed,48
okaly,48
qoeey,48
ols,47
opchy,47
ycheol,47
aral,47
okeeo,47
ykal,46
cphy,46
cham,46
key,46
sheeky,46
shedaiin,46
qokeeody,46
qotchol,45
chockhy,45
ychey,45
tchol,45
laiin,45
chckhdy,45
ykeody,45
orol,45
qokair,45
kair,44
yshey,44
qotchor,44
$H=2>,44
araiin,44
orain,44
okody,44
chs,43
oar,43
ytor,43
chkeey,43
lkchedy,43
shckhey,42
odain,42
ot,42
om,42
olshey,42
rchedy,42
chedy<$>,42
ycheo,42
chokaiin,42
cheeo,42
lchdy,42
qolchey,42
cheeor,41
choy,41
ram,41
ytal,41
sheos,41
pchor,40
yteody,40
sheeol,40
doiin,40
ctheey,40
chkal,40
ol<-><figure>,40
m,39
dshey,39
shes,39
ykeol,39
odal,38
qopchy,38
ry,38
okchol,38
ockhy,38
chckhedy,38
qokaly,38
otedar,38
qokshedy,38
ychedy,38
oteor,37
olain,37
dcheey,37
qokechy,37
choiin,37
cthedy,37
shee,37
shedal,37
chedain,37
qotam,37
Y,37
lcheey,37
chan,36
ychol,36
choly,36
shocthy,36
otody,36
checkhey,36
fchedy,36
shky,36
pchdy,36
olkal,36
ckhor,35
pcheol,35
cheeody,35
dal<-><plant>,35
opal,35
olar,35
chotar,35
tair,35
t,35
qolchedy,35
tain,35
(f100v,35
k,34
do,34
dam<-><plant>,34
qodar,34
daiin<$><plant>,34
ytol,34
okeal,34
chokeey,34
pchedar,34
okeeody,34
opaiin,34
oteeody,34
oteeo,34
yshedy,34
chom,33
qokchor,33
qoteol,33
ytey,33
chcphy,33
dshor,33
opar,33
keeol,33
ykeeody,33
shety,33
qokeeol,33
qokody,32
shees,32
cheodaiin,32
chkar,32
ytam,32
ytchedy,32
shedy<$>,32
chdam,32
olkey,32
(f72r2,32
lo,32
shod,31
chotey,31
qot,31
okeeor,31
ytchor,31
qokcho,31
chodar,31
tey,31
qok,31
aldy,31
okeo,31
okees,31
pchey,31
ly,31
shek,31
arol,31
otshedy,31
qokl,31
(f102v2,31
cthaiin,30
olsheey,30
qokshy,30
sheod,30
chty,30
dsho,30
cheeol,30
octhy,30
qokedar,30
oral,30
daim,30
barrel>,30
shos,29
ykol,29
daiiin,29
ytchey,29
qoar,29
qoor,29
okshy,29
dshy,29
cheockhy,29
otoldy,29
rchey,29
chkain,29
ypchedy,29
ls,29
chekal,29
olcheey,29
alol,29
with,29
(f70v2,29
okeeedy,29
ykor,28
okcho,28
qotcho,28
ycheor,28
dar<-><plant>,28
sheaiin,28
shcthey,28
qopchey,28
ykain,28
sam,28
oteo,28
oram,28
dressed>,28
sheety,28
(f89v2,28
dan,27
chr,27
shokchy,27
ksho,27
oain,27
chey<$>,27
oiiin,27
ysheey,27
qofchedy,27
chekaiin,27
qoked,27
ykeeol,27
qotody,27
chotal,27
chcthey,27
ckheey,27
qoteody,27
no,27
star,27
tail>,27
shain,26
oees,26
tchody,26
keeo,26
olcheol,26
lr,26
qokeeor,26
okedal,26
qokaldy,26
chekar,26
keeey,26
schedy,26
olkeeey,26
aram,26
oto,26
dy<-><figure>,26
tshedy,26
lkchey,26
chokain,25
tody,25
otcho,25
opy,25
ctheol,25
todaiin,25
okaldy,25
okary,25
ykchdy,25
olchdy,25
oteeol,25
dchdy,25
ytchdy,25
orar,25
okedar,25
osaiin,25
otaldy,25
chokal,25
tshey,25
qokan,25
lsheey,25
arody,25
ytain,24
shoky,24
chotchy,24
dsheey,24
paiin,24
daram,24
g,24
deey,24
eees,24
keeody,24
okear,24
shdar,24
okshey,24
dsheol,24
ycheeo,24
lkl,24
lcheedy,24
lcheol,24
$I=S,24
$Q=T,24
cphey,23
ro,23
schey,23
sheeor,23
chotaiin,23
chod,23
keeor,23
oldaiin,23
choldy,23
chkey,23
pchol,23
ockhey,23
otees,23
2>,23
oeedy,23
qolkeedy,23
sholdy,22
kshy,22
dalor,22
kcheol,22
keor,22
kshey,22
tshol,22
da,22
olchy,22
