
operator,stem,suffix,count
da,i,in,2525
ch,e,dy,1648
,,ol,1606
sh,e,dy,1470
,ai,in,1231
ch,,ol,1222
ch,e,y,1082
qo,kee,dy,1029
qo,kai,in,1027
,or,,976
qo,ke,dy,957
qo,kee,y,950
,ar,,931
da,r,,920
sh,e,y,845
da,,al,750
qo,ka,in,744
ok,ai,in,729
ch,or,,670
,,al,670
qo,k,al,661
,,dy,635
,s,,595
sh,,ol,571
qo,,ol,558
ot,ai,in,522
ch,ee,y,515
da,,in,505
sa,i,in,505
ok,ee,y,504
ot,e,dy,498
,<Grove's,,495
ch,e,ol,494
qo,kar,,472
ch,ckh,y,445
sh,ee,y,444
ch,,y,438
ch,,dy,431
qo,k,y,429
ok,,al,421
ot,ar,,419
ot,,al,407
ok,e,dy,392
ok,ar,,390
,lche,dy,382
ot,ee,y,379
sh,o,,376
,d,ol,353
ot,,y,349
,,y,348
ok,ee,dy,347
qo,ke,y,341
qo,te,dy,337
ok,a,in,334
sh,e,ol,326
,<was,,318
da,ir,,305
qo,k,ol,301
sh,or,,300
,cth,y,295
sh,,y,293
ot,ee,dy,290
,r,,286
ch,eor,,281
qo,tai,in,278
sh,ee,dy,273
,kai,in,263
ch,o,dy,260
qo,t,y,255
,rai,in,253
ot,,ol,252
ok,,y,252
qo,tee,dy,248
ch,cth,y,242
sa,r,,242
,<,,227
ot,a,in,227
ch,ar,,226
ch,eo,dy,225
da,m,,224
qo,kch,y,223
,a,in,223
,am,,221
so,,ol,211
,dor,,209
,l,,206
,o,,204
ok,,ol,204
ch,eo,,203
ch,ek,y,198
qo,t,al,198
qo,tch,y,197
sh,ckh,y,192
qo,tar,,188
ok,e,y,187
,air,,185
,kee,dy,182
ch,o,,180
ch,ee,dy,177
,cth,ol,176
ok,e,ol,173
qo,kch,dy,172
,kar,,171
,odai,in,169
ot,e,y,169
ch,eckh,y,163
yk,ee,y,162
,olai,in,161
sh,eor,,160
,lkai,in,160
sa,,al,157
,ke,dy,155
,te,dy,155
sh,o,dy,153
,opche,dy,152
ch,ear,,150
sa,,in,147
,t,ol,147
ot,ch,y,145
qo,ta,in,145
sh,,dy,144
qo,t,ol,143
so,r,,143
,ol,y,143
,cthe,y,142
,kee,y,142
,cthor,,141
,orai,in,141
qo,ke,ol,141
,lche,y,141
,olkee,dy,138
,tai,in,137
,tar,,137
yk,ai,in,135
sh,eo,,135
,olkee,y,133
ch,,al,132
sh,eo,dy,132
,olkai,in,132
ch,ai,in,131
,$I=H,,129
,lor,,127
sh,eckh,y,127
,lshe,dy,127
qo,dai,in,126
ot,am,,126
qo,tee,y,125
sh,ek,y,122
ot,e,ol,122
,l,ol,122
ch,odai,in,121
ds,he,dy,121
,ytai,in,120
,d,,120
,lkee,dy,118
,lkee,y,117
da,iin<-><plant>,,116
,olche,dy,116
,o,dy,115
,k,ol,114
,ckh,y,113
ot,or,,113
,X,,113
sh,ar,,112
pc,he,dy,112
,<label,,112
ch,ckhe,y,111
ch,edai,in,111
ch,ot,y,109
ch,ok,y,109
qo,kor,,109
,ka,in,108
ch,es,,108
ok,ch,y,106
ch,os,,106
tc,he,dy,105
qo,kche,dy,105
ot,che,y,104
ch,e,al,102
sh,cth,y,101
yk,ar,,101
ch,ecth,y,101
ok,eo,dy,99
ot,eo,dy,99
ok,che,y,97
ch,ees,,97
qo,keo,dy,97
qo,,,96
,$L=A,,94
,ckhe,y,94
,kch,y,94
dc,h,y,94
qo,pche,dy,94
,olche,y,93
ok,or,,92
,oai,in,91
,olor,,90
,olke,dy,90
,olka,in,90
qo,kche,y,89
ch,eos,,89
,lkar,,89
ch,edar,,87
,aii,in,87
ot,ch,ol,86
,opche,y,86
,lke,dy,86
,k,al,86
sa,ir,,84
ot,che,dy,84
dc,he,dy,83
dc,hor,,81
,ytee,dy,81
qo,keee,y,81
tc,h,y,80
ot,ch,dy,80
ok,am,,79
yk,ee,dy,79
,oi,in,78
sh,e,,78
qo,tor,,78
,$H=1>,,77
da,l,y,76
,yte,dy,76
,tor,,75
,yt,y,74
,r,ol,74
ch,eek,y,74
qo,r,,74
sh,ecth,y,74
,t,al,74
,olk,y,74
ok,che,dy,74
sh,ai,in,73
,kchor,,73
qo,ai,in,73
da,r,y,73
,ytee,y,73
yc,hee,y,72
ch,et,y,72
qo,kam,,72
ch,ed,al,72
,rar,,72
,lka,in,72
,os,,71
tc,he,y,71
sh,ear,,71
,kche,y,71
,odar,,70
qo,te,y,70
,ytar,,70
da,iin<$>,,69
,al,y,69
,p<,,69
,olshe,dy,69
sh,odai,in,68
,kch,ol,68
,kor,,67
da,iir,,67
,$L=B,,67
,aiir,,67
,ke,ol,66
ch,l,,66
ok,air,,66
,keo,dy,65
ot,air,,65
ok,eee,y,65
,cthar,,64
,ckh,ol,64
ch,kai,in,64
,k,y,63
tc,hor,,63
ok,eor,,63
,ar,y,62
qo,keeo,,62
,kche,dy,62
qo,tch,dy,62
qo,ee,dy,62
qo,tche,y,61
,t,y,61
,ydai,in,61
qo,ckh,y,61
ok,ch,dy,61
sh,ed,,61
ch,ed,,61
qo,ckhe,y,61
,s<-><plant>,,60
qo,,dy,60
,kch,dy,60
qo,keor,,60
,or,y,59
ch,a,in,59
yk,e,dy,59
po,,ol,58
,r,al,58
,l,dy,58
qo,tche,dy,58
yk,ch,y,57
,tee,y,57
dc,he,y,57
ch,d,al,57
ch,dar,,57
sh,,,56
ch,k,y,56
,ol,dy,56
,opch,dy,56
,olkar,,56
ch,octh,y,55
ok,chor,,55
da,l,dy,55
,ol,ol,55
ot,al,y,55
ot,eos,,54
yc,hor,,54
qo,kch,ol,54
sh,e,al,54
sh,,al,54
qo,pch,dy,54
,lshe,y,54
so,i,in,53
dc,h,ol,53
,ctho,dy,53
,lk,y,53
,cthy<-><plant>,,52
ch,okch,y,52
,ra,in,52
,dy<-><plant>,,51
,dl,,51
,ytch,y,50
tc,h,dy,50
ch,dai,in,50
,te,ol,50
yk,,y,49
ot,chor,,49
,tee,dy,49
,ror,,49
,s,y,48
,ctho,,48
,cph,ol,48
ok,ee,ol,48
qo,keed,,48
ok,al,y,48
qo,ee,y,48
,ols,,47
,opch,y,47
yc,he,ol,47
,ar,al,47
ok,eeo,,47
yk,,al,46
,cph,y,46
ch,am,,46
,ke,y,46
sh,eek,y,46
sh,edai,in,46
qo,keeo,dy,46
qo,tch,ol,45
ch,ockh,y,45
yc,he,y,45
tc,h,ol,45
,lai,in,45
ch,ckh,dy,45
yk,eo,dy,45
,or,ol,45
qo,kair,,45
,kair,,44
ys,he,y,44
qo,tchor,,44
,$H=2>,,44
,arai,in,44
,ora,in,44
ok,o,dy,44
ch,s,,43
,oar,,43
,ytor,,43
ch,kee,y,43
,lkche,dy,43
sh,ckhe,y,42
,oda,in,42
ot,,,42
,om,,42
,olshe,y,42
,rche,dy,42
ch,edy<$>,,42
yc,heo,,42
ch,okai,in,42
ch,eeo,,42
,lch,dy,42
qo,lche,y,42
ch,eeor,,41
ch,o,y,41
,ram,,41
,yt,al,41
sh,eos,,41
pc,hor,,40
,yteo,dy,40
sh,ee,ol,40
,doi,in,40
,cthee,y,40
ch,k,al,40
,ol<-><figure>,,40
,m,,39
ds,he,y,39
sh,es,,39
yk,e,ol,39
,od,al,38
qo,pch,y,38
,r,y,38
ok,ch,ol,38
,ockh,y,38
ch,ckhe,dy,38
qo,kal,y,38
ot,edar,,38
qo,kshe,dy,38
yc,he,dy,38
ot,eor,,37
,ola,in,37
dc,hee,y,37
qo,kech,y,37
ch,oi,in,37
,cthe,dy,37
sh,ee,,37
sh,ed,al,37
ch,eda,in,37
qo,tam,,37
,Y,,37
,lchee,y,37
ch,,an,36
yc,h,ol,36
ch,ol,y,36
sh,octh,y,36
ot,o,dy,36
ch,eckhe,y,36
,fche,dy,36
sh,k,y,36
pc,h,dy,36
,olk,al,36
,ckhor,,35
pc,he,ol,35
ch,eeo,dy,35
da,l<-><plant>,,35
,op,al,35
,olar,,35
ch,otar,,35
,tair,,35
,t,,35
qo,lche,dy,35
,ta,in,35
,(f100v,,35
,k,,34
,do,,34
