source,prefix_3,count
Harley_MS_2378_Middle_English_recipes_excerpt,and,16
Harley_MS_2378_Middle_English_recipes_excerpt,the,8
Harley_MS_2378_Middle_English_recipes_excerpt,for,6
Harley_MS_2378_Middle_English_recipes_excerpt,tak,4
Harley_MS_2378_Middle_English_recipes_excerpt,man,3
Harley_MS_2378_Middle_English_recipes_excerpt,tho,3
Harley_MS_2378_Middle_English_recipes_excerpt,hem,3
Harley_MS_2378_Middle_English_recipes_excerpt,mak,3
Harley_MS_2378_Middle_English_recipes_excerpt,com,3
Harley_MS_2378_Middle_English_recipes_excerpt,wel,3
Harley_MS_2378_Middle_English_recipes_excerpt,gen,2
Harley_MS_2378_Middle_English_recipes_excerpt,fay,2
Harley_MS_2378_Middle_English_recipes_excerpt,med,2
Harley_MS_2378_Middle_English_recipes_excerpt,bre,2
Harley_MS_2378_Middle_English_recipes_excerpt,byn,2
Harley_MS_2378_Middle_English_recipes_excerpt,wit,2
Harley_MS_2378_Middle_English_recipes_excerpt,ben,2
Harley_MS_2378_Middle_English_recipes_excerpt,wyn,2
Harley_MS_2378_Middle_English_recipes_excerpt,tet,2
Harley_MS_2378_Middle_English_recipes_excerpt,tha,2
Harley_MS_2378_Middle_English_recipes_excerpt,fro,2
Harley_MS_2378_Middle_English_recipes_excerpt,bol,1
Harley_MS_2378_Middle_English_recipes_excerpt,tel,1
Harley_MS_2378_Middle_English_recipes_excerpt,can,1
Harley_MS_2378_Middle_English_recipes_excerpt,bot,1
Harley_MS_2378_Middle_English_recipes_excerpt,zon,1
Harley_MS_2378_Middle_English_recipes_excerpt,old,1
Harley_MS_2378_Middle_English_recipes_excerpt,all,1
Harley_MS_2378_Middle_English_recipes_excerpt,lev,1
Harley_MS_2378_Middle_English_recipes_excerpt,lor,1
Harley_MS_2378_Middle_English_recipes_excerpt,rew,1
Harley_MS_2378_Middle_English_recipes_excerpt,sma,1
Harley_MS_2378_Middle_English_recipes_excerpt,bry,1
Harley_MS_2378_Middle_English_recipes_excerpt,pla,1
Harley_MS_2378_Middle_English_recipes_excerpt,cle,1
Harley_MS_2378_Middle_English_recipes_excerpt,bou,1
Harley_MS_2378_Middle_English_recipes_excerpt,den,1
Harley_MS_2378_Middle_English_recipes_excerpt,als,1
Harley_MS_2378_Middle_English_recipes_excerpt,gar,1
Harley_MS_2378_Middle_English_recipes_excerpt,ach,1
Harley_MS_2378_Middle_English_recipes_excerpt,sot,1
Harley_MS_2378_Middle_English_recipes_excerpt,abo,1
Harley_MS_2378_Middle_English_recipes_excerpt,thi,1
Harley_MS_2378_Middle_English_recipes_excerpt,bal,1
Harley_MS_2378_Middle_English_recipes_excerpt,fas,1
Harley_MS_2378_Middle_English_recipes_excerpt,why,1
Harley_MS_2378_Middle_English_recipes_excerpt,bla,1
Harley_MS_2378_Middle_English_recipes_excerpt,zel,1
Harley_MS_2378_Middle_English_recipes_excerpt,flo,1
Harley_MS_2378_Middle_English_recipes_excerpt,rye,1
Harley_MS_2378_Middle_English_recipes_excerpt,sal,1
Harley_MS_2378_Middle_English_recipes_excerpt,hon,1
Harley_MS_2378_Middle_English_recipes_excerpt,ged,1
Harley_MS_2378_Middle_English_recipes_excerpt,ich,1
Harley_MS_2378_Middle_English_recipes_excerpt,day,1
Harley_MS_2378_Middle_English_recipes_excerpt,iij,1
Harley_MS_2378_Middle_English_recipes_excerpt,aft,1
Harley_MS_2378_Middle_English_recipes_excerpt,was,1
Harley_MS_2378_Middle_English_recipes_excerpt,wat,1
Harley_MS_2378_Middle_English_recipes_excerpt,sty,1
Harley_MS_2378_Middle_English_recipes_excerpt,out,1
Harley_MS_2378_Middle_English_recipes_excerpt,sto,1
Harley_MS_2378_Middle_English_recipes_excerpt,han,1
Harley_MS_2378_Middle_English_recipes_excerpt,bet,1
Harley_MS_2378_Middle_English_recipes_excerpt,pou,1
Harley_MS_2378_Middle_English_recipes_excerpt,set,1
Harley_MS_2378_Middle_English_recipes_excerpt,goo,1
Harley_MS_2378_Middle_English_recipes_excerpt,pot,1
Harley_MS_2378_Middle_English_recipes_excerpt,qua,1
Harley_MS_2378_Middle_English_recipes_excerpt,lat,1
Harley_MS_2378_Middle_English_recipes_excerpt,sek,1
Harley_MS_2378_Middle_English_recipes_excerpt,dry,1
Harley_MS_2378_Middle_English_recipes_excerpt,mor,1
Harley_MS_2378_Middle_English_recipes_excerpt,eve,1
Harley_MS_2378_Middle_English_recipes_excerpt,hot,1
Harley_MS_2378_Middle_English_recipes_excerpt,may,1
Harley_MS_2378_Middle_English_recipes_excerpt,suf,1
Liber_de_Coquina_Latin_excerpt,cau,8
Liber_de_Coquina_Latin_excerpt,cum,7
Liber_de_Coquina_Latin_excerpt,bul,6
Liber_de_Coquina_Latin_excerpt,alb,5
Liber_de_Coquina_Latin_excerpt,fac,5
Liber_de_Coquina_Latin_excerpt,quo,4
Liber_de_Coquina_Latin_excerpt,pon,4
Liber_de_Coquina_Latin_excerpt,bro,4
Liber_de_Coquina_Latin_excerpt,par,3
Liber_de_Coquina_Latin_excerpt,aqu,3
Liber_de_Coquina_Latin_excerpt,pre,3
Liber_de_Coquina_Latin_excerpt,inc,2
Liber_de_Coquina_Latin_excerpt,coq,2
Liber_de_Coquina_Latin_excerpt,diu,2
Liber_de_Coquina_Latin_excerpt,cib,2
Liber_de_Coquina_Latin_excerpt,pri,2
Liber_de_Coquina_Latin_excerpt,int,2
Liber_de_Coquina_Latin_excerpt,tan,2
Liber_de_Coquina_Latin_excerpt,ben,2
Liber_de_Coquina_Latin_excerpt,tur,2
Liber_de_Coquina_Latin_excerpt,fen,2
Liber_de_Coquina_Latin_excerpt,ole,2
Liber_de_Coquina_Latin_excerpt,add,2
Liber_de_Coquina_Latin_excerpt,car,2
Liber_de_Coquina_Latin_excerpt,qua,2
Liber_de_Coquina_Latin_excerpt,acc,2
Liber_de_Coquina_Latin_excerpt,ext,2
Liber_de_Coquina_Latin_excerpt,fri,2
Liber_de_Coquina_Latin_excerpt,ali,2
Liber_de_Coquina_Latin_excerpt,uas,2
Liber_de_Coquina_Latin_excerpt,lib,1
Liber_de_Coquina_Latin_excerpt,ubi,1
Liber_de_Coquina_Latin_excerpt,doc,1
Liber_de_Coquina_Latin_excerpt,atq,1
Liber_de_Coquina_Latin_excerpt,hic,1
Liber_de_Coquina_Latin_excerpt,gen,1
Liber_de_Coquina_Latin_excerpt,her,1
Liber_de_Coquina_Latin_excerpt,uis,1
Liber_de_Coquina_Latin_excerpt,mon,1
Liber_de_Coquina_Latin_excerpt,eor,1
Liber_de_Coquina_Latin_excerpt,ita,1
Liber_de_Coquina_Latin_excerpt,fro,1
Liber_de_Coquina_Latin_excerpt,nih,1
Liber_de_Coquina_Latin_excerpt,rem,1
Liber_de_Coquina_Latin_excerpt,dum,1
Liber_de_Coquina_Latin_excerpt,oll,1
Liber_de_Coquina_Latin_excerpt,sup,1
Liber_de_Coquina_Latin_excerpt,ign,1
Liber_de_Coquina_Latin_excerpt,siu,1
Liber_de_Coquina_Latin_excerpt,sci,1
Liber_de_Coquina_Latin_excerpt,app,1
Liber_de_Coquina_Latin_excerpt,ibi,1
Liber_de_Coquina_Latin_excerpt,sin,1
Liber_de_Coquina_Latin_excerpt,spi,1
Liber_de_Coquina_Latin_excerpt,loc,1
Liber_de_Coquina_Latin_excerpt,pot,1
Liber_de_Coquina_Latin_excerpt,uir,1
Liber_de_Coquina_Latin_excerpt,sec,1
Liber_de_Coquina_Latin_excerpt,usu,1
Liber_de_Coquina_Latin_excerpt,imp,1
Liber_de_Coquina_Latin_excerpt,cim,1
Liber_de_Coquina_Latin_excerpt,san,1
Liber_de_Coquina_Latin_excerpt,cal,1
Liber_de_Coquina_Latin_excerpt,ind,1
Liber_de_Coquina_Latin_excerpt,eam,1
Liber_de_Coquina_Latin_excerpt,fue,1
Liber_de_Coquina_Latin_excerpt,hor,1
Liber_de_Coquina_Latin_excerpt,com,1
Liber_de_Coquina_Latin_excerpt,tot,1
Liber_de_Coquina_Latin_excerpt,eli,1
Liber_de_Coquina_Latin_excerpt,pos,1
Liber_de_Coquina_Latin_excerpt,sar,1
Liber_de_Coquina_Latin_excerpt,uel,1
Liber_de_Coquina_Latin_excerpt,pat,1
Liber_de_Coquina_Latin_excerpt,ide,1
Liber_de_Coquina_Latin_excerpt,est,1
Liber_de_Coquina_Latin_excerpt,cep,1
Sacrobosco_De_Sphaera_Latin_excerpt,est,7
Sacrobosco_De_Sphaera_Latin_excerpt,sup,5
Sacrobosco_De_Sphaera_Latin_excerpt,cor,4
Sacrobosco_De_Sphaera_Latin_excerpt,sph,4
Sacrobosco_De_Sphaera_Latin_excerpt,des,3
Sacrobosco_De_Sphaera_Latin_excerpt,fig,3
Sacrobosco_De_Sphaera_Latin_excerpt,mac,3
Sacrobosco_De_Sphaera_Latin_excerpt,mun,3
Sacrobosco_De_Sphaera_Latin_excerpt,quo,3
Sacrobosco_De_Sphaera_Latin_excerpt,int,2
Sacrobosco_De_Sphaera_Latin_excerpt,tra,2
Sacrobosco_De_Sphaera_Latin_excerpt,cen,2
Sacrobosco_De_Sphaera_Latin_excerpt,mot,2
Sacrobosco_De_Sphaera_Latin_excerpt,cir,2
Sacrobosco_De_Sphaera_Latin_excerpt,suo,2
Sacrobosco_De_Sphaera_Latin_excerpt,qui,2
Sacrobosco_De_Sphaera_Latin_excerpt,igi,2
Sacrobosco_De_Sphaera_Latin_excerpt,aut,2
Sacrobosco_De_Sphaera_Latin_excerpt,sem,2
Sacrobosco_De_Sphaera_Latin_excerpt,dia,2
Sacrobosco_De_Sphaera_Latin_excerpt,nos,1
Sacrobosco_De_Sphaera_Latin_excerpt,hoc,1
Sacrobosco_De_Sphaera_Latin_excerpt,eam,1
Sacrobosco_De_Sphaera_Latin_excerpt,con,1
Sacrobosco_De_Sphaera_Latin_excerpt,hui,1
Sacrobosco_De_Sphaera_Latin_excerpt,dic,1
Sacrobosco_De_Sphaera_Latin_excerpt,pri,1
Sacrobosco_De_Sphaera_Latin_excerpt,sit,1
Sacrobosco_De_Sphaera_Latin_excerpt,eiu,1
Sacrobosco_De_Sphaera_Latin_excerpt,fix,1
Sacrobosco_De_Sphaera_Latin_excerpt,loc,1
Sacrobosco_De_Sphaera_Latin_excerpt,suu,1
Sacrobosco_De_Sphaera_Latin_excerpt,und,1
Sacrobosco_De_Sphaera_Latin_excerpt,inc,1
Sacrobosco_De_Sphaera_Latin_excerpt,red,1
Sacrobosco_De_Sphaera_Latin_excerpt,tal,1
Sacrobosco_De_Sphaera_Latin_excerpt,tot,1
Sacrobosco_De_Sphaera_Latin_excerpt,ima,1
Sacrobosco_De_Sphaera_Latin_excerpt,man,1
Sacrobosco_De_Sphaera_Latin_excerpt,erg,1
Sacrobosco_De_Sphaera_Latin_excerpt,cui,1
Sacrobosco_De_Sphaera_Latin_excerpt,ult,1
Sacrobosco_De_Sphaera_Latin_excerpt,eru,1
Sacrobosco_De_Sphaera_Latin_excerpt,exp,1
Sacrobosco_De_Sphaera_Latin_excerpt,eti,1
Sacrobosco_De_Sphaera_Latin_excerpt,sci,1
Sacrobosco_De_Sphaera_Latin_excerpt,ter,1
Sacrobosco_De_Sphaera_Latin_excerpt,rot,1
