stem,frequency,category,confidence,meaning_en,in_canonical_lexicon,example_words
st,12404,general,CANDIDATE,Stand / place / position,True,kostedi(693);kostain(630);kostei(527)
tr,7273,general,CANDIDATE,Through / trans,True,otredi(301);otrain(298);otrei(222)
ost,7069,ingredient,CONFIRMED,bone,True,kostedi(693);kostain(630);kostei(527)
he,6262,grammar,CANDIDATE,the/this (demonstrative),True,hedi(638);hei(588);heol(207)
ain,6234,grammar,CONFIRMED,substance/thing,True,dain(1045);kostain(630);ain(596)
ed,5889,general,CONFIRMED,'Process kernel / do / treat',True,kostedi(693);hedi(638);šedi(552)
ol,5887,ingredient,CONFIRMED,oil,True,ol(529);hol(401);heol(207)
edi,4849,ingredient,CONFIRMED,root/prepared,True,kostedi(693);hedi(638);šedi(552)
da,4283,grammar,CONFIRMED,give/add,True,dain(1045);dar(287);dal(244)
kost,3585,ingredient,CONFIRMED,bone,True,kostedi(693);kostain(630);kostei(527)
al,3478,liquid,CONFIRMED,liquid/water (vessel context),True,al(309);dal(244);kostal(203)
ar,3462,ingredient,CONFIRMED,water,True,ar(362);dar(287);kostar(148)
or,2866,ingredient,CONFIRMED,oil,True,or(333);hor(211);heor(113)
še,2844,grammar,CANDIDATE,with the (comitative+article),True,šedi(552);šei(452);šeol(136)
od,2389,plant_part,CONFIRMED,stalk/stem,True,heodi(105);hodi(96);odain(77)
dain,1913,grammar,CONFIRMED,given/added,True,dain(1045);odain(77);hedain(73)
hei,1707,grammar,CONFIRMED,combine/mix,True,hei(588);lhei(67);ctrhei(60)
heo,1475,grammar,CANDIDATE,that which/the one,True,heol(207);heor(113);heodi(105)
in,1297,UNLISTED,UNCLASSIFIED,?,False,
ostai,1266,grammar,CONFIRMED,vessel/container,True,kostain(630);ostain(440);hostain(31)
csth,1008,general,CANDIDATE,Complex cluster,True,hcsthi(154);šcsthi(59);hecsthi(55)
ctr,1007,general,CANDIDATE,Center / control,True,ctrhi(105);hctrhi(85);ctrhei(60)
hol,995,ingredient,CONFIRMED,flour/grain,True,hol(401);ctrhol(58);otrhol(24)
dar,848,grammar,CONFIRMED,gift,True,dar(287);hedar(46);odar(24)
dal,805,liquid,CONFIRMED,da-l-al,True,dal(244);hedal(33);dali(29)
stal,714,equipment,CANDIDATE,cauldron,True,kostal(203);ostal(157);stal(27)
šei,705,grammar,CONFIRMED,strain/filter,True,šei(452);lšei(30);dšei(26)
šeo,635,grammar,CANDIDATE,with that which,True,šeol(136);šeor(65);šeo(60)
hor,633,action,CONFIRMED,cook/combine,True,hor(211);ctrhor(42);dhor(24)
star,611,grammar,CONFIRMED,old/aged,True,kostar(148);ostar(131);star(55)
otrai,566,grammar,CONFIRMED,vessel/container,True,otrain(298);kotrain(156);otrair(32)
ctrh,559,UNLISTED,UNCLASSIFIED,?,False,
ostal,531,equipment,CONFIRMED,pot/jar,True,kostal(203);ostal(157);ostali(23)
ee,482,general,CONFIRMED,(intensifier),True,kosteei(36);osteei(33);osteedi(14)
sth,451,UNLISTED,UNCLASSIFIED,?,False,
eos,385,grammar,CANDIDATE,them/those,True,heos(42);otreos(39);osteos(18)
ostar,359,equipment,CONFIRMED,pot/jar,True,kostar(148);ostar(131);ostari(10)
sain,311,grammar,CANDIDATE,salt-substance/brine,True,sain(233);osain(9);šosain(6)
šol,299,action,CONFIRMED,soak in oil,True,šol(186);šoldi(8);tršol(6)
trh,297,UNLISTED,UNCLASSIFIED,?,False,
olst,296,UNLISTED,UNCLASSIFIED,?,False,
ist,270,UNLISTED,UNCLASSIFIED,?,False,
ste,268,UNLISTED,UNCLASSIFIED,?,False,
aiin,229,general,LOW,Repetition / plural,True,aiin(41);daiin(16);ostaiin(6)
etr,224,preparation,CANDIDATE,extract/tincture,True,hetri(28);šetri(15);hetrei(12)
plh,224,UNLISTED,UNCLASSIFIED,?,False,
hodi,222,grammar,CONFIRMED,walk/go,True,hodi(96);ctrhodi(18);trhodi(8)
rh,222,UNLISTED,UNCLASSIFIED,?,False,
oste,220,UNLISTED,UNCLASSIFIED,?,False,
om,212,grammar,CONFIRMED,with/by (instrumental),True,om(24);hom(14);heom(13)
osth,204,UNLISTED,UNCLASSIFIED,?,False,
heodi,200,grammar,CANDIDATE,to/for the [aforementioned],True,heodi(105);plheodi(13);trheodi(7)
itr,200,UNLISTED,UNCLASSIFIED,?,False,
steo,196,UNLISTED,UNCLASSIFIED,?,False,
eal,180,preparation,CANDIDATE,vessel/container,True,heal(44);šeal(25);osteal(18)
oplh,174,UNLISTED,UNCLASSIFIED,?,False,
stor,173,ingredient,CONFIRMED,storax,True,kostor(39);ostor(34);stor(26)
ir,168,UNLISTED,UNCLASSIFIED,?,False,
kosti,165,animal,CONFIRMED,Bone + state,True,kosti(147);kostir(4);kostidi(2)
hctr,158,general,CANDIDATE,Heated-center compound,True,hctrhi(85);hctrhei(8);hctrhedi(8)
heos,158,grammar,CANDIDATE,of the [aforementioned],True,heos(42);heostei(13);heosti(8)
sar,158,ingredient,CONFIRMED,salt,True,sar(84);sarain(9);saral(5)
tror,156,action,CANDIDATE,boil/roast,True,otror(44);kotror(29);tror(22)
šor,150,action,CONFIRMED,soak/infuse,True,šor(88);dšor(10);šori(7)
dh,144,UNLISTED,UNCLASSIFIED,?,False,
otr,129,UNLISTED,UNCLASSIFIED,?,False,
reo,128,UNLISTED,UNCLASSIFIED,?,False,
osteo,128,UNLISTED,UNCLASSIFIED,?,False,
ra,127,UNLISTED,UNCLASSIFIED,?,False,
sta,127,UNLISTED,UNCLASSIFIED,?,False,
sal,125,ingredient,CONFIRMED,salt,True,sal(56);sali(5);osal(5)
sted,118,UNLISTED,UNCLASSIFIED,?,False,
olh,115,UNLISTED,UNCLASSIFIED,?,False,
re,114,UNLISTED,UNCLASSIFIED,?,False,
pl,105,UNLISTED,UNCLASSIFIED,?,False,
tram,101,grammar,CANDIDATE,by compound means,True,otram(48);kotram(16);itram(9)
ih,101,UNLISTED,UNCLASSIFIED,?,False,
dor,98,UNLISTED,UNCLASSIFIED,?,False,
cplh,97,UNLISTED,UNCLASSIFIED,?,False,
dš,85,UNLISTED,UNCLASSIFIED,?,False,
thor,83,action,CANDIDATE,boil/roast,True,sthor(20);osthor(18);kosthor(11)
ror,82,UNLISTED,UNCLASSIFIED,?,False,
stš,79,UNLISTED,UNCLASSIFIED,?,False,
ocsth,78,UNLISTED,UNCLASSIFIED,?,False,
lst,77,UNLISTED,UNCLASSIFIED,?,False,
tre,76,UNLISTED,UNCLASSIFIED,?,False,
daiin,73,general,CANDIDATE,Add (extended),True,daiin(16);kodaiin(2);hedaiin(2)
osta,71,UNLISTED,UNCLASSIFIED,?,False,
steh,69,UNLISTED,UNCLASSIFIED,?,False,
prh,68,UNLISTED,UNCLASSIFIED,?,False,
steor,64,UNLISTED,UNCLASSIFIED,?,False,
sto,63,UNLISTED,UNCLASSIFIED,?,False,
osto,61,UNLISTED,UNCLASSIFIED,?,False,
lh,61,UNLISTED,UNCLASSIFIED,?,False,
ros,60,ingredient,CONFIRMED,rose/rosewater,True,otros(4);tros(4);otrosti(3)
do,60,UNLISTED,UNCLASSIFIED,?,False,
octrh,60,UNLISTED,UNCLASSIFIED,?,False,
trš,60,UNLISTED,UNCLASSIFIED,?,False,
ro,60,UNLISTED,UNCLASSIFIED,?,False,
isth,59,UNLISTED,UNCLASSIFIED,?,False,
treo,58,UNLISTED,UNCLASSIFIED,?,False,
tra,56,UNLISTED,UNCLASSIFIED,?,False,
opl,56,UNLISTED,UNCLASSIFIED,?,False,
itrh,55,UNLISTED,UNCLASSIFIED,?,False,
tro,55,UNLISTED,UNCLASSIFIED,?,False,
alst,53,UNLISTED,UNCLASSIFIED,?,False,
osted,52,UNLISTED,UNCLASSIFIED,?,False,
red,51,UNLISTED,UNCLASSIFIED,?,False,
oh,51,UNLISTED,UNCLASSIFIED,?,False,
ral,50,UNLISTED,UNCLASSIFIED,?,False,
iste,49,UNLISTED,UNCLASSIFIED,?,False,
iš,49,UNLISTED,UNCLASSIFIED,?,False,
olš,48,UNLISTED,UNCLASSIFIED,?,False,
rš,48,UNLISTED,UNCLASSIFIED,?,False,
tred,48,UNLISTED,UNCLASSIFIED,?,False,
ctrhor,47,UNLISTED,UNCLASSIFIED,?,False,
rar,47,UNLISTED,UNCLASSIFIED,?,False,
ostor,46,UNLISTED,UNCLASSIFIED,?,False,
oral,45,latin_pharma,CONFIRMED,by mouth,True,oral(13);soral(4);ploral(2)
olste,44,UNLISTED,UNCLASSIFIED,?,False,
isteo,43,UNLISTED,UNCLASSIFIED,?,False,
