rho,third_noise,H1,H2|1,H3|12,Top10_cov,err
0.9,0.0,2.910809422688608,1.702637203436043,0.587437561355551,0.7031,0.3624906155810531
0.9,0.05,2.9206543110101877,1.7206454168190062,0.9545534340866028,0.69565,0.6614021227891694
0.8500000000000001,0.0,2.947982965249975,1.9477353877319818,0.7106992019139582,0.65995,0.6671839325324911
0.9,0.1,2.91899863354439,1.6856695981285337,1.2224362901254646,0.6969,1.016183933763016
0.8500000000000001,0.05,2.954917433805719,1.972270379639974,1.0592263890191969,0.6565,1.0516433246115378
0.8,0.0,2.9779433509423456,2.202841696029634,0.8541305083294132,0.61945,1.1702077785399272
0.8500000000000001,0.1,2.951780663323763,1.9610233967391706,1.3133770251544081,0.66345,1.4509439976277023
0.8,0.05,2.9918153828611325,2.1628241823008807,1.1609803781132428,0.62435,1.4781100597678083
0.9,0.15,2.9154517313947266,1.6915976157937065,1.501630655271264,0.69885,1.5752107083607292
0.75,0.0,3.0117102870065064,2.4323866216992642,0.9900996634621406,0.57955,1.7788905793911332
0.8500000000000001,0.15,2.9431053404278384,1.9324160050905899,1.5423952166691721,0.66865,1.9015698384542776
0.8,0.1,2.9817422857762055,2.2011082973445957,1.44642607533859,0.621,2.0837299911696645
0.9,0.2,2.9233234593819346,1.7011705957817693,1.7216170555548098,0.7011,2.1217165824987587
0.75,0.05,3.003456513028672,2.4195853397496223,1.2910013405916694,0.58985,2.213578130174656
0.7,0.0,3.0384754345901546,2.6181003060153727,1.1146270422200584,0.54065,2.4028753138637233
0.8,0.15,2.9771179034615414,2.2181488737423605,1.6405194421074178,0.6191,2.5721377446830354
0.8500000000000001,0.2,2.954326302222641,1.9530581211621962,1.7989394147705353,0.6612,2.586367524760506
0.75,0.1,3.0083690853625287,2.4169205798014244,1.5090902410982727,0.5846,2.6531333645720734
0.7,0.05,3.0260067733517357,2.612371827883278,1.3841046163514241,0.5454,2.8644087466045423
0.8,0.2,2.9844341856131904,2.1889763306289147,1.8389429068942158,0.6244,3.055391781115111
0.65,0.0,3.067718792950483,2.788208595882589,1.2487315066087943,0.5082,3.09751588554402
0.75,0.15,3.0008524162298116,2.419567871399006,1.7306317833247793,0.5866,3.2149274506839944
0.7,0.1,3.0318092851324936,2.6119045684632103,1.6113668208831948,0.546,3.370619586651927
0.65,0.05,3.048071953098427,2.792386985319603,1.5107350325369988,0.5107,3.6451972610041925
0.75,0.2,3.009325157870931,2.3932470231222265,1.9239229545767877,0.58575,3.7130196494081407
0.6,0.0,3.0778805888044665,2.9711856347070436,1.3983275767747207,0.46745,3.9756435049068393
0.7,0.15,3.034999298775916,2.6381269050470677,1.8232848234569419,0.5408,4.009808344050694
0.65,0.1,3.0595526327597926,2.8094929946094025,1.708534743373004,0.5061,4.181859127731069
0.7,0.2,3.0386179352782126,2.6005842626012363,1.9611527509136055,0.54665,4.324883256902745
0.6,0.05,3.0870669305307805,2.9675522368038623,1.6193619349738682,0.4671,4.461310732750273
0.65,0.15,3.060893305312488,2.779668078599649,1.8780670496277228,0.51195,4.570449639830166
0.6,0.1,3.080862473339803,2.984817604406761,1.812082875616373,0.46355,5.040761127761306
0.65,0.2,3.057584552373589,2.828593388345,2.0867701754782253,0.50195,5.39513546672052
0.6,0.15,3.070757732891948,2.9528838528635597,1.989115793411925,0.47195,5.474514890505151
0.6,0.2,3.0924767559475206,2.9614201197011463,2.1301081936488497,0.47065,5.969776616483958
