glyph,count,frequency_pct
o,24491,13.0711
e,19792,10.5632
h,17300,9.2332
y,17040,9.0944
a,13972,7.4570
c,12924,6.8977
d,12649,6.7509
i,11467,6.1200
k,10596,5.6552
l,10164,5.4246
r,7267,3.8785
s,6899,3.6821
t,6789,3.6234
n,6051,3.2295
q,5342,2.8511
p,1661,0.8865
m,1050,0.5604
%,998,0.5326
f,491,0.2621
g,107,0.0571
1,64,0.0342
j,44,0.0235
x,26,0.0139
0,22,0.0117
v,20,0.0107
7,14,0.0075
2,14,0.0075
(,14,0.0075
;,14,0.0075
),14,0.0075
w,13,0.0069
b,11,0.0059
\,10,0.0053
u,9,0.0048
|,7,0.0037
6,5,0.0027
9,5,0.0027
4,3,0.0016
3,2,0.0011
5,2,0.0011
',2,0.0011
z,1,0.0005
8,1,0.0005
:,1,0.0005
