word,frequency
dain,1045
kostedi,693
hedi,638
kostain,630
ain,596
hei,588
šedi,552
ol,529
kostei,527
šei,452
ostain,440
hol,401
ar,362
or,333
al,309
ostei,306
otredi,301
otrain,298
dar,287
ostedi,273
dal,244
sain,233
otrei,222
di,218
hor,211
heol,207
kostal,203
kotredi,195
šol,186
lhedi,165
otral,158
ostal,157
kotrain,156
kol,155
hcsthi,154
hdi,153
kostar,148
kosti,147
otrar,146
hi,139
šeol,136
ostar,131
šo,125
stain,123
rain,123
otri,121
lstain,116
stedi,115
heor,113
dol,111
lstedi,106
kostol,105
ctrhi,105
heodi,105
dair,101
ši,97
hodi,96
osteol,95
heo,95
hesti,93
am,90
har,88
šor,88
osti,87
dam,85
hctrhi,85
sar,84
air,83
ostol,82
kotri,81
otrol,81
olstedi,79
odain,77
hes,75
lstei,74
olstain,73
kosthi,73
kosteol,73
hedain,73
kotrei,72
dor,71
olain,70
sol,68
lhei,67
istei,67
train,67
hain,67
šeor,65
orain,64
stei,64
oplhedi,62
ho,62
tredi,61
hear,61
kotrhi,61
kotral,60
kotrar,60
ctrhei,60
šeo,60
šcsthi,59
hal,59
šesti,58
ctrhol,58
šeodi,58
sor,56
sal,56
kosthdi,56
otreol,56
star,55
hecsthi,55
lšedi,55
otreodi,55
osteodi,55
olstei,53
šodi,53
lor,51
oli,50
kodain,50
hodain,49
kosteodi,49
oiin,48
ihei,48
otram,48
istedi,47
trol,47
osthei,47
kotrol,46
lol,46
otrhi,46
hedar,46
kosthedi,46
itredi,45
šdi,45
oain,45
trar,44
heal,44
otror,44
csthei,44
olhei,43
olhedi,43
itrain,43
šecsthi,42
ctrhor,42
istain,42
heos,42
kosthei,41
plhedi,41
še,41
koplhedi,41
aiin,41
dšedi,40
steol,40
odi,40
kostor,39
osteo,39
hosti,39
hos,39
otreos,39
osteor,38
oplhei,38
hstain,38
csthi,38
otrhei,38
hotri,38
hcsthei,37
stol,37
kosteor,37
kosteei,36
šar,36
lstar,36
kosteo,36
šain,36
osthedi,35
hectrhi,34
ostor,34
šctrhi,34
koain,34
hedal,33
otrhedi,33
osteei,33
osthi,32
trei,32
dhedi,32
olor,32
ko,32
otrair,32
trhedi,31
ali,31
kostam,31
hostain,31
steodi,31
lšei,30
dhei,30
iheo,30
dali,29
istar,29
hdain,29
kotror,29
sthi,29
itrei,28
hl,28
hetri,28
soiin,28
sair,28
sthei,28
kosted,28
kotrhedi,28
šed,28
os,28
otreo,28
isteol,28
stal,27
hed,27
dhi,27
šear,27
šodain,27
ostam,27
dšei,26
kor,26
ostair,26
sti,26
stor,26
oldi,26
trhei,26
sthedi,26
hestain,26
aiir,26
ldi,25
kocsthei,25
lsti,25
koedi,25
šeal,25
rar,25
isteodi,25
trhi,24
si,24
odar,24
dhor,24
heodain,24
om,24
otrhol,24
rol,23
išei,23
itri,23
hstei,23
šedain,23
itrar,23
koplhdi,23
ostali,23
dari,23
ari,23
idain,23
kostehi,23
csthol,23
hestei,22
plol,22
šectrhi,22
hdar,22
šes,22
treol,22
otrhdi,22
tror,22
oplhdi,22
lain,22
kostair,22
daiir,22
olšedi,21
ham,21
ral,21
otrali,21
kotrhdi,21
kostedar,21
hsti,21
olsti,20
ror,20
doiin,20
sthol,20
ctrhar,20
hocsthi,20
sthor,20
ihedi,19
šal,19
lsthedi,19
dhol,19
otredar,19
osthdi,19
stair,19
hs,19
kocsthi,19
trhor,19
steor,19
hstal,19
kotrhei,19
kosthol,19
isti,19
hostei,19
isthi,19
ori,18
olšei,18
lhdi,18
dl,18
kodi,18
ols,18
olol,18
iheol,18
aral,18
osteal,18
hdal,18
koei,18
trair,18
otreor,18
itreodi,18
osthor,18
oplhi,18
itrhi,18
osteos,18
ctrhodi,18
tral,17
išedi,17
daldi,17
šeos,17
alstain,17
ihor,17
orol,16
kotreol,16
ram,16
šestei,16
kotram,16
tri,16
ocsthi,16
kostali,16
ostes,16
daiin,16
hoctrhi,16
ostedain,16
kotreodi,16
hosthi,16
oar,16
otrhor,16
ostodi,16
ltredi,15
šcsthei,15
lo,15
hecsthei,15
šetri,15
otršedi,15
sthdi,15
aldi,15
itral,15
kostedain,15
arain,15
ostear,15
hotrei,15
oplain,15
ihol,15
dan,15
plhei,14
ohei,14
ri,14
lr,14
cplhi,14
šedal,14
osteedi,14
hcsthedi,14
otres,14
cplhol,14
trhdi,14
šsti,14
odal,14
hestal,14
ostedal,14
koplhei,14
holi,14
hstar,14
hodar,14
šeod,14
šeain,14
hotrain,14
hotrar,14
do,14
hom,14
kotrhor,14
ctrho,14
rhei,13
kolhedi,13
rhedi,13
olstal,13
plhdi,13
oral,13
oplal,13
ostšei,13
prhedi,13
kostear,13
istal,13
šest,13
hdam,13
lstl,13
lsteodi,13
steo,13
otreodain,13
heostei,13
heom,13
iplhedi,13
arodi,13
plheodi,13
šoctrhi,13
hoi,13
kotrhol,13
osthol,13
ctrhain,13
hoiin,13
kostšedi,12
tršei,12
olsteei,12
arol,12
li,12
plheol,12
hcsthdi,12
kolhei,12
olar,12
hetrei,12
koprhedi,12
otred,12
hcplhi,12
plhor,12
kostl,12
itrhedi,12
lsteol,12
kosteod,12
alam,12
lsteei,12
treodi,12
iheor,12
aram,12
han,12
trhol,12
isteor,12
kostši,12
oldain,12
itror,12
oram,11
ls,11
olstar,11
ctrhedi,11
ro,11
solstedi,11
alol,11
itrhor,11
ostehi,11
dšeol,11
hr,11
koar,11
lsthei,11
eedi,11
lheol,11
otreei,11
heei,11
steei,11
tredain,11
lstal,11
plhodain,11
otrodi,11
kotrho,11
trodain,11
koplhi,11
heocsthi,11
kosthor,11
istor,11
oedi,10
oplar,10
ršedi,10
orar,10
ostedar,10
ohedi,10
otroldi,10
hetrain,10
plhedar,10
otroli,10
htri,10
otr,10
hdor,10
istol,10
olsteol,10
ocsthei,10
dšor,10
htral,10
kotrodi,10
hcsthhi,10
otreal,10
kosteos,10
ees,10
osteom,10
lstam,10
daim,10
hotrhi,10
sorain,10
šosthi,10
lsteo,10
sam,10
šeodain,10
ostoiin,10
alain,10
ostari,10
kostho,10
ctrheol,10
hori,10
itram,9
stam,9
plor,9
kostan,9
isthei,9
kost,9
kolstain,9
ostši,9
alstedi,9
hestar,9
tršedi,9
olheol,9
olal,9
šstain,9
dheol,9
kostaldi,9
lplhedi,9
šedar,9
plolain,9
osthd,9
šestain,9
šod,9
koeei,9
kotreo,9
hedam,9
hetrar,9
sarain,9
lhal,9
rarain,9
rair,9
olr,9
hostedi,9
šos,9
osteoli,9
isteo,9
octrhi,9
ostho,9
oplheol,9
hodal,9
hotral,9
osain,9
holdi,9
csthor,9
ohor,9
cstheol,9
ctrhom,9
itrol,9
kolstedi,8
solhedi,8
ošei,8
lhed,8
lhi,8
heosti,8
kostoiin,8
hctrhei,8
hctrhedi,8
kotred,8
da,8
dei,8
lal,8
kolstei,8
šoldi,8
plhol,8
koin,8
dhdi,8
olhdi,8
otredain,8
shedi,8
trho,8
daiidi,8
šctrhei,8
hestedi,8
itrhei,8
hd,8
šeosti,8
plolhedi,8
kohei,8
etri,8
plain,8
alom,8
hostar,8
stehi,8
trheo,8
daram,8
ostehedi,8
kod,8
kosteain,8
plhedain,8
ail,8
kotr,8
šhi,8
cplhain,8
heodal,8
koedain,8
osto,8
kostodi,8
istair,8
otreodar,8
heoar,8
hostal,8
htrain,8
koctrhi,8
otro,8
alor,8
odor,8
itrhdi,8
koor,8
dši,8
dšo,8
ostos,8
sos,8
otrho,8
stšo,8
doiir,8
oees,8
trhodi,8
kodar,8
otraldi,7
otraram,7
heostain,7
aror,7
oprhedi,7
isteei,7
hctrhhi,7
kostes,7
ostoldi,7
hstedi,7
trheol,7
lar,7
oltredi,7
loli,7
kotres,7
kocsthedi,7
šetrei,7
cplhei,7
sšei,7
otredal,7
kostedal,7
šosti,7
holstain,7
kolain,7
alhei,7
tredam,7
oror,7
olhi,7
shei,7
arar,7
heoldi,7
lam,7
cplhedi,7
ctrhdi,7
ostaral,7
hcsthal,7
plorain,7
kotrali,7
plhedal,7
ctrhal,7
kocsthol,7
kosteal,7
dheo,7
šesthi,7
oin,7
sodar,7
koi,7
isthedi,7
es,7
šam,7
heoli,7
kosto,7
plheor,7
lstair,7
aim,7
lsteedi,7
oplhedain,7
dalam,7
trheodi,7
olsteodi,7
treodain,7
lstšedi,7
stedal,7
ocsthedi,7
haram,7
isthdi,7
stheor,7
ostom,7
oi,7
oes,7
alar,7
ostalal,7
šostei,7
šeei,7
šocsthi,7
hoplhi,7
trodi,7
šori,7
hosteodi,7
ostaldi,7
oprhdi,6
koli,6
ostehdi,6
hedol,6
lhor,6
kotreor,6
koplol,6
rari,6
idi,6
olplhedi,6
šecsthedi,6
kostehedi,6
olam,6
dedi,6
šcsthedi,6
otrari,6
alhedi,6
stoldi,6
lstol,6
orair,6
opli,6
trhar,6
dalol,6
kotredar,6
šecsthei,6
stšei,6
šestal,6
st,6
hari,6
ldar,6
kei,6
stšedi,6
kotrair,6
olstam,6
loiin,6
ostaiin,6
ihedain,6
otrarar,6
kosthd,6
koeol,6
koiin,6
heam,6
šeodar,6
osteodain,6
šetr,6
alal,6
šost,6
otreain,6
holstedi,6
osteam,6
dairal,6
prhei,6
šostar,6
stedar,6
ctrheor,6
hosteol,6
harain,6
olsthedi,6
hotram,6
cplhor,6
šdar,6
itreol,6
hocsthei,6
otrehi,6
hostor,6
koplain,6
stšeodi,6
kodal,6
plšeodi,6
stheodi,6
saiir,6
treedi,6
isteos,6
ostaiir,6
šosain,6
hosain,6
osthar,6
iain,6
oplhed,6
alodi,6
hoctrhei,6
oplhol,6
daiim,6
holsti,6
dom,6
oldam,6
cprhi,6
tršol,6
ctrheodi,6
otrhodi,6
isthol,6
šotri,6
cprhol,6
hotrol,6
pr,6
shol,6
dhain,6
cstheodi,6
dalor,6
istali,6
isthor,6
horain,6
osteod,6
ostalar,6
otreodal,6
csedi,5
lheam,5
istes,5
stšeol,5
olstair,5
sstain,5
kosteedi,5
oplol,5
solstei,5
hectrhei,5
dšol,5
otrehdi,5
olstol,5
dolhedi,5
štri,5
ostedam,5
soin,5
osteši,5
saral,5
šd,5
hesi,5
octrhei,5
šestar,5
edi,5
plšol,5
htrol,5
oro,5
sali,5
koplšedi,5
oplor,5
oloiin,5
solstain,5
lom,5
dalar,5
šostal,5
koal,5
heain,5
korain,5
sarol,5
dalal,5
kopl,5
koctrhei,5
stehdi,5
osted,5
osal,5
kool,5
keei,5
hepli,5
dalain,5
hali,5
ldain,5
kopli,5
dalhdi,5
lsted,5
hctrhdi,5
kostehdi,5
sšedi,5
otrhar,5
kotrši,5
holor,5
otran,5
lhol,5
orhei,5
heisti,5
ei,5
kotrhed,5
as,5
lheo,5
heod,5
odl,5
hosthei,5
iheodain,5
istedain,5
olsteedi,5
lotri,5
soain,5
olsteo,5
otraral,5
lstedain,5
stear,5
raram,5
otrarain,5
plhodi,5
lsthdi,5
lstedal,5
olstehi,5
heodar,5
plhdar,5
hoain,5
oplair,5
otrham,5
tršo,5
stšar,5
alstar,5
an,5
koair,5
ostan,5
sairi,5
dodi,5
alstam,5
iho,5
treor,5
šeoi,5
istam,5
steos,5
šoain,5
ost,5
lodi,5
ohi,5
soi,5
koeor,5
otrear,5
kostod,5
oplari,5
ist,5
troi,5
odam,5
oplhor,5
šeodal,5
trhodain,5
her,5
od,5
stodi,5
cstho,5
hod,5
sthodi,5
istho,5
dals,5
itro,5
csthhi,5
stho,5
ohol,5
stheol,5
host,5
šeostei,5
oprain,5
holodi,5
šoiin,5
odair,5
itrali,5
stši,5
itrodi,5
ctrhhi,5
stoiin,5
ihear,4
olšdi,4
otršei,4
distain,4
lsto,4
lheor,4
olhed,4
dšes,4
olšeol,4
koplhol,4
ošedi,4
šecplhi,4
roiin,4
šostain,4
kesthdi,4
šl,4
ihes,4
olprhedi,4
hetredi,4
lostam,4
ostai,4
kostaiir,4
aitrhi,4
olsthi,4
staldi,4
oltrain,4
solhei,4
dalstar,4
distedi,4
heali,4
tredar,4
csthedi,4
kolsti,4
kolšedi,4
šdal,4
rhi,4
plar,4
opral,4
plolši,4
ostšedi,4
dhed,4
iplhi,4
lostedi,4
sostedi,4
stari,4
disti,4
csthain,4
hepl,4
aiini,4
lhar,4
plšedi,4
doin,4
hedor,4
kestei,4
ltrain,4
soral,4
dalhedi,4
šoisthi,4
kotršdi,4
ihedar,4
otrori,4
holhei,4
stas,4
otreedi,4
loei,4
kostdi,4
cplhar,4
los,4
otralor,4
olo,4
heistain,4
ltrei,4
heoain,4
kotrheo,4
istoiin,4
išeor,4
itreei,4
ostehei,4
orom,4
heostedi,4
dšeo,4
ordain,4
hedei,4
hool,4
kohedi,4
lstehei,4
lstehedi,4
so,4
aldain,4
htrar,4
šstei,4
trear,4
steodal,4
treo,4
stehedi,4
lstedar,4
hcsthain,4
ltral,4
lostei,4
dadi,4
šolstedi,4
lheal,4
iheain,4
heolstedi,4
lši,4
trhedor,4
lho,4
oplhes,4
htrei,4
plhdair,4
rodain,4
stheo,4
išeo,4
otralain,4
oprar,4
otredam,4
dheodi,4
dalstedi,4
ostaram,4
kotreos,4
iheodi,4
išeodi,4
olheo,4
oplam,4
oair,4
otraiir,4
osteodar,4
dheos,4
tr,4
hostam,4
kotreal,4
koees,4
šeostain,4
kotredal,4
lldi,4
plolar,4
alo,4
alsti,4
sori,4
ostalain,4
heotri,4
osthdar,4
lstšei,4
oiir,4
prhdi,4
kostheodi,4
otrhod,4
hoplhei,4
csthar,4
kostees,4
ctrhes,4
plodar,4
tršdi,4
heplar,4
hplhi,4
heplhi,4
kotreei,4
oplhal,4
otralar,4
prol,4
iplain,4
holal,4
olheor,4
kostir,4
plairar,4
heotrain,4
stairam,4
stalstal,4
htrl,4
šstar,4
štrhi,4
kostšdi,4
kostšd,4
dairi,4
lstaiir,4
otridi,4
sto,4
otros,4
ostheodi,4
rodi,4
aildi,4
oaiir,4
heoi,4
olstear,4
trocsthi,4
osthain,4
kostaii,4
solain,4
otralal,4
otras,4
oestei,4
sa,4
išeod,4
he,4
cplheor,4
steodain,4
lšeodi,4
ostheo,4
horor,4
hestol,4
šotrhi,4
csthal,4
koear,4
heoctrhi,4
hotr,4
eor,4
hodhi,4
ostšo,4
tram,4
stšeo,4
stšodi,4
hetrhi,4
šoli,4
ostoi,4
tršor,4
šom,4
hosthol,4
otrheor,4
sodi,4
stodain,4
isthodi,4
hostol,4
otrhos,4
oeor,4
didi,4
sthain,4
trši,4
ctrholi,4
hsthi,4
hotrhei,4
daiis,4
otrši,4
šan,4
trhos,4
storain,4
didain,4
oestain,4
cplheodi,4
iplhei,4
hitri,4
ihi,4
dori,4
csthodi,4
tros,4
histi,4
oeo,4
oldar,4
hesthi,4
šs,4
hotror,4
holain,4
alšei,4
isain,4
ostoli,4
dšeor,4
otreod,4
šeom,4
itreos,4
osteodal,4
otreotrei,4
otredol,3
kostšei,3
kostehei,3
otršdi,3
steedi,3
darol,3
lhecsthi,3
solšedi,3
rolhi,3
kctrhei,3
lšed,3
plolhei,3
kotresi,3
hcplhei,3
plolhdi,3
oraiin,3
plolarar,3
holsteei,3
koeedi,3
šedam,3
ditrei,3
hest,3
stan,3
štral,3
kedi,3
san,3
ostalhi,3
hsdi,3
kostoldi,3
lhedam,3
hls,3
kotršedi,3
šectrhei,3
ostedor,3
cprhei,3
itredar,3
rom,3
olšed,3
kolšei,3
ostolši,3
oroli,3
koplor,3
šctrhhi,3
oplalstain,3
šcsthhi,3
šestedi,3
roli,3
kotršei,3
kostas,3
oltridi,3
ki,3
heplhedi,3
šeoldi,3
otralšedi,3
koeo,3
šeam,3
dalšdi,3
tredal,3
dstain,3
iar,3
dairam,3
kcsthedi,3
hcsthd,3
ihed,3
kedar,3
iprhei,3
csthdi,3
šeols,3
hcplhedi,3
istšeol,3
otralam,3
rorol,3
lhs,3
heg,3
keedi,3
hen,3
šehi,3
kotredain,3
šeplhi,3
lolstain,3
ostalol,3
olom,3
das,3
darom,3
sols,3
daro,3
kodedi,3
ketrain,3
kotreedi,3
dalo,3
kolši,3
holo,3
hstam,3
hepr,3
koprheol,3
ostalor,3
stšdi,3
oltrar,3
ostolo,3
ostori,3
lšeol,3
kotrl,3
oedain,3
hotredi,3
horol,3
lsain,3
otrairor,3
kosain,3
hhi,3
otream,3
heditrei,3
plhdam,3
olheodi,3
tred,3
plolal,3
hepri,3
lprhedi,3
plhal,3
hecsthed,3
kear,3
ihar,3
atri,3
stedain,3
aldar,3
osteain,3
doain,3
ostalam,3
kstain,3
kostalor,3
otroiin,3
hstol,3
hsthol,3
osteostain,3
hotro,3
plheo,3
kos,3
plolor,3
ihedal,3
heosteo,3
hostodi,3
kotrear,3
plohedi,3
kain,3
aloiin,3
plholi,3
lsteal,3
šsthi,3
kostoi,3
istedar,3
hlar,3
koprhdi,3
oplalal,3
kostalhdi,3
tredo,3
lhdain,3
kodam,3
oeal,3
olsteor,3
olhear,3
koheol,3
olali,3
oear,3
otrhes,3
oplorain,3
otrodain,3
hecsthol,3
arl,3
trarol,3
oplheodi,3
plholsti,3
stošei,3
heost,3
kostedam,3
hctrhar,3
otraim,3
prheol,3
lolain,3
prar,3
hehei,3
salar,3
loees,3
ostarol,3
ostoei,3
oor,3
iheod,3
ocplhi,3
dalhi,3
treos,3
octrhdi,3
kodair,3
kopldain,3
koeodi,3
oeain,3
isteodain,3
daiiral,3
odei,3
oleei,3
oei,3
oledi,3
iplair,3
eol,3
ilstain,3
airal,3
laiin,3
aiidi,3
lsthi,3
oal,3
otreosi,3
hcsthodi,3
dhos,3
ha,3
asti,3
steeol,3
lstheo,3
loain,3
lodar,3
šeesti,3
šsthedi,3
hctrhal,3
šstair,3
oplhear,3
trheor,3
istheor,3
otroi,3
otreis,3
ihain,3
hdali,3
trarair,3
hosthedi,3
aiinal,3
otrodal,3
plal,3
koprhol,3
šees,3
plair,3
stl,3
staiin,3
alhor,3
oprhei,3
sostei,3
arodl,3
ihtrain,3
holhedi,3
ihdi,3
trhod,3
ostohei,3
sairal,3
raral,3
olši,3
šer,3
oeos,3
kotrhd,3
olstes,3
kotrhodi,3
etredi,3
ploar,3
koplal,3
itreo,3
aiil,3
istear,3
kostlain,3
hplal,3
trarain,3
kotrišei,3
ltri,3
hstali,3
odedi,3
hcprhi,3
olstedain,3
plhdain,3
kostaim,3
koestain,3
hecplhei,3
oplheo,3
oplheor,3
heolor,3
olplhei,3
dairodi,3
isteedi,3
hplor,3
itroiin,3
prheodi,3
ostairi,3
aiis,3
htrhi,3
lrain,3
diin,3
holstal,3
hodr,3
alstei,3
starodi,3
plšdar,3
starhi,3
ostees,3
otrais,3
stšed,3
oplhodi,3
rheo,3
koplheodi,3
plšodain,3
šotreodi,3
plheodar,3
heostam,3
sodal,3
hoar,3
kostairor,3
plhar,3
dheor,3
hols,3
plodain,3
šodal,3
hocplhi,3
itrodain,3
csthos,3
heotrei,3
šeoesti,3
estei,3
cstheos,3
dhosthi,3
šsteo,3
aldam,3
oplidain,3
histhi,3
ctri,3
cstham,3
ostolhi,3
hestodi,3
troar,3
kotroiin,3
isteols,3
kostheo,3
hoši,3
koplhor,3
damo,3
oeei,3
dhar,3
idal,3
ctro,3
sthod,3
stoli,3
hcprhhi,3
koos,3
hesthei,3
shor,3
treodar,3
kotrheain,3
išo,3
stšol,3
osthodi,3
koctrhedi,3
octrhodi,3
heodam,3
kotrheol,3
kosthain,3
hosteo,3
sodain,3
hohi,3
plhoctrhi,3
hotreol,3
dais,3
otrees,3
prhol,3
stoain,3
itrhoi,3
treodal,3
itreod,3
dairin,3
kotrhar,3
lodain,3
otrhal,3
hodali,3
