token_id,eva,zfd,operator,stem,suffix,expansion,croatian,english,confidence,notes
f88r.1.1,doršeoi,doršeoi,,doršeoi,,[STEM:doršeoi=oil],doršeoi,oil,0.3,Stem: oil (CONFIRMED)
f88r.1.2,ctrheol,ctrrrheol,,ctrrrheol,,[STEM:ctrrrheol=oil],ctrrrheol,oil,0.6000000000000001,Stem: oil (CONFIRMED)
f88r.1.3,kocsthei,strocstrhei,,strocstrhei,,[STEM:strocstrhei=combine/mix],strocstrhei,combine/mix,0.7,Stem: combine (CONFIRMED)
f88r.1.4,dori,dori,,dori,,[STEM:dori=oil],dori,oil,0.3,Stem: oil (CONFIRMED)
f88r.1.5,šeor,šeor,,šeor,,[STEM:šeor=oil],šeor,oil,0.3,Stem: oil (CONFIRMED)
f88r.1.6,šolprhor,olor,,ol,or,[STEM:ol=oil][SUF:or=oil_related],olor,oil,0.6499999999999999,Stem: oil (CONFIRMED)
f88r.1.7,dal,dal,da,l,,[OP:da][STEM:l=?],dal,dose [l],0.25,Operator dose/give/add (CONFIRMED)
f88r.1.8,hcsthod,hcstrhod,,hcstrhod,,[STEM:hcstrhod=?],hcstrhod,[hcstrhod],0.05,
f88r.2.1,sal,sal,,sal,,[STEM:sal=salt],sal,salt,0.3,Stem: salt (CONFIRMED)
f88r.2.2,šeom,šeom,,šeom,,[STEM:šeom=?],šeom,[šeom],0.0,
f88r.2.3,stol,strol,,strol,,[STEM:strol=oil],strol,oil,0.5,Stem: oil (CONFIRMED)
f88r.2.4,hear,hear,,hear,,[STEM:hear=water],hear,water,0.3,Stem: water (CONFIRMED)
f88r.2.5,šestor,šestror,,šestror,,[STEM:šestror=boil/roast],šestror,boil/roast,0.5,Stem: boil (CANDIDATE)
f88r.2.6,kostor,ostor,,ost,or,[STEM:ost=bone][SUF:or=oil_related],ostor,bone,0.8500000000000001,Stem: bone (CONFIRMED)
f88r.2.7,dain,dain,da,in,,[OP:da][STEM:in=?],dain,dose [in],0.25,Operator dose/give/add (CONFIRMED)
f88r.2.8,sar,sar,,sar,,[STEM:sar=salt],sar,salt,0.3,Stem: salt (CONFIRMED)
f88r.2.9,rain,rain,,rain,,[STEM:rain=?],rain,[rain],0.0,
f88r.2.10,osti,ostri,,ostri,,[STEM:ostri=bone],ostri,bone,0.5,Stem: bone (CONFIRMED)
f88r.2.11,sam,sam,,sam,,[STEM:sam=self/alone],sam,self/alone,0.3,Stem: self (CONFIRMED)
f88r.3.1,oain,oain,,oain,,[STEM:oain=?],oain,[oain],0.0,
f88r.3.2,or,or,,or,,[STEM:or=oil],or,oil,0.3,Stem: oil (CONFIRMED)
f88r.3.3,om,om,,om,,[STEM:om=?],om,[om],0.0,
f88r.3.4,otram,otrram,otr,ram,,[OP:otr][STEM:ram=?],otrram,vessel [ram],0.25,Operator vessel/container (CONFIRMED)
f88r.3.5,osteom,ostom,,ost,om,[STEM:ost=bone][SUF:om=instrumental],ostom,with bone,0.6499999999999999,Stem: bone (CONFIRMED)
f88r.3.6,heor,heor,,heor,,[STEM:heor=oil],heor,oil,0.3,Stem: oil (CONFIRMED)
f88r.3.7,kosteodi,strostreodi,,strostreodi,,[STEM:strostreodi=bone],strostreodi,bone,0.7,Stem: bone (CONFIRMED)
f88r.3.8,dar,dar,da,r,,[OP:da][STEM:r=?],dar,dose [r],0.25,Operator dose/give/add (CONFIRMED)
f88r.3.9,or,or,,or,,[STEM:or=oil],or,oil,0.3,Stem: oil (CONFIRMED)
f88r.3.10,om,om,,om,,[STEM:om=?],om,[om],0.0,
f88r.3.11,heodi,heodi,,heodi,,[STEM:heodi=?],heodi,[heodi],0.0,
f88r.4.1,kosteol,ostol,,ost,ol,[STEM:ost=bone][SUF:ol=oil_related],ostol,bone,0.8500000000000001,Stem: bone (CONFIRMED)
f88r.4.2,heol,heol,,heol,,[STEM:heol=oil],heol,oil,0.3,Stem: oil (CONFIRMED)
f88r.4.3,sain,sain,,sain,,[STEM:sain=?],sain,[sain],0.0,
f88r.4.4,heos,heos,,heos,,[STEM:heos=?],heos,[heos],0.0,
f88r.4.5,heol,heol,,heol,,[STEM:heol=oil],heol,oil,0.3,Stem: oil (CONFIRMED)
